Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Xavier Ubosi*,UAB,CUSA,14,35,837,23.9,8,0,0,,0,35,837,23.9,8,xavier-ubosi-1
2,Emanuel Hall*,Missouri,SEC,9,37,828,22.4,6,0,0,,0,37,828,22.4,6,emanuel-hall-1
3,Hakeem Butler*,Iowa State,Big 12,13,60,1318,22.0,9,0,0,,0,60,1318,22.0,9,hakeem-butler-1
4,D.K. Metcalf,Ole Miss,SEC,7,26,569,21.9,5,0,0,,0,26,569,21.9,5,dk-metcalf-1
5,Justyn Ross*,Clemson,ACC,15,46,1000,21.7,9,0,0,,0,46,1000,21.7,9,justyn-ross-1
6,Tamorrion Terry,Florida State,ACC,12,35,744,21.3,8,0,0,,0,35,744,21.3,8,tamorrion-terry-1
7,Josh Palmer,Tennessee,SEC,12,23,484,21.0,2,5,27,5.4,1,28,511,18.3,3,josh-palmer-1
8,Darnell Mooney*,Tulane,American,13,48,993,20.7,8,1,6,6.0,0,49,999,20.4,8,darnell-mooney-1
9,Randall St. Felix*,South Florida,American,11,33,679,20.6,4,0,0,,0,33,679,20.6,4,randall-st-felix-1
10,Jon'Vea Johnson*,Toledo,MAC,13,32,660,20.6,9,0,0,,0,32,660,20.6,9,jonvea-johnson-1
11,Tre Turner*,Virginia Tech,ACC,12,26,535,20.6,4,8,101,12.6,1,34,636,18.7,5,tre-turner-2
12,Seth Williams*,Auburn,SEC,13,26,534,20.5,5,0,0,,0,26,534,20.5,5,seth-williams-1
13,D'Wayne Eskridge*,Western Michigan,MAC,11,38,776,20.4,3,0,0,,0,38,776,20.4,3,dwayne-eskridge-1
14,Austin Maloney*,Florida International,CUSA,13,30,610,20.3,5,0,0,,0,30,610,20.3,5,austin-maloney-1
15,Terry McLaurin*,Ohio State,Big Ten,14,35,701,20.0,11,0,0,,0,35,701,20.0,11,terry-mclaurin-1
16,Marcus Bennett,Air Force,MWC,12,24,465,19.4,3,0,2,,0,24,467,19.5,3,marcus-bennett-1
17,Jerry Jeudy*,Alabama,SEC,15,68,1315,19.3,14,0,0,,0,68,1315,19.3,14,jerry-jeudy-1
18,Darius Slayton*,Auburn,SEC,12,35,670,19.1,5,0,0,,0,35,670,19.1,5,darius-slayton-1
