#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL,STD_DEV
1,Michael Thomas,WR,FA,12.3,8.9,11.4,9.5,30.2,8.9,13.1,16.3,0,15.2,17.4,16.1,4.8,19.4,18.8,19.6,3.7,14.1,225.6,6.983658632
2,Chris Godwin,WR,TB,11.3,18.1,4,29.2,24.5,15.1,BYE,6.3,6.9,7.4,10.7,30.4,5,9.1,12.1,0,0,13.6,190.1,9.112163488
3,Kenny Golladay,WR,FA,10.2,17.7,1.7,18.7,0,12.1,2.1,22.3,19.2,11.7,3.4,6.1,21.8,11.8,4.4,12.6,7.2,11.4,183,7.057823459
4,Cooper Kupp,WR,LAR,4.6,12.6,22.1,17.9,17.7,1.7,5,28,BYE,0,5.3,3.5,12.5,10.5,10.1,9.1,15.9,11,176.5,7.547244427
5,Julio Jones,WR,FA,9.1,22.6,18.8,5.3,4.2,10.8,9.3,15.2,0,7.9,8.7,6.8,0,6.6,25.4,16.6,7.8,11.7,175.1,6.999327699
6,DeVante Parker,WR,FA,7.5,0,5.6,13,0,8.8,11.5,5.9,11.7,6.9,13.5,9.1,27.9,2.8,19.2,17.1,13.7,10.9,174.2,6.862611203
7,Amari Cooper,WR,CLE,16.6,10.4,20.8,4.8,28.6,0.3,10.6,0,14,20.7,3.8,0,8.5,14.3,1.9,2.4,9.8,10.5,167.5,8.190821093
8,Mike Evans,WR,TB,2.8,6.1,37,14.9,0,11.6,BYE,31.8,24,8.2,6.9,5,5.3,12.1,0,0,0,12.7,165.7,11.05717916
9,DeAndre Hopkins,WR,TEN,23.1,4,6.7,3.1,8.8,7.5,16.6,10.9,11.4,0,8,21.4,10.6,19.2,11.9,2.3,0,11,165.5,6.863367479
10,A.J. Brown,WR,PHI,10,2.5,0.4,21.4,2.7,2.3,6.2,7.1,8.1,1.7,0,19.5,4.5,28.6,17.4,14.3,18.4,10.3,165.1,8.384711742
11,Keenan Allen,WR,CHI,18.3,9.8,30.6,4.8,1.8,3.3,6.1,5.3,4,8.6,13.1,0,12.8,8.3,9.9,6.6,14.2,9.8,157.5,7.063072251
12,Allen Robinson II,WR,NYG,10.2,4.1,6,7.7,21.7,0,14.7,6.2,0.6,8.6,1.5,19.1,14.6,16.8,12.5,5.3,7.3,9.8,156.9,6.267916879
13,Julian Edelman,WR,FA,10.4,5.2,12.2,3,17,11.3,6.7,19.5,6.9,0,9.9,9.3,15.9,16.3,0.9,9.2,2.6,9.8,156.3,5.63940658
14,Jarvis Landry,WR,FA,7.7,3.2,6.2,16.7,7.5,3.6,0,6.5,11.1,15.7,10.3,26.8,7.6,7.6,2.3,7.4,14.2,9.7,154.4,6.264957189
15,Tyler Lockett,WR,SEA,10.4,7.9,21.4,5.1,10.3,7.8,11.8,10,27.2,2.9,BYE,3.8,0,4.3,18,1.2,11.1,9.6,153.2,7.174825782
16,DJ Chark Jr.,WR,LAC,20.6,11.5,13.6,4.4,28.4,4.3,7.3,13.9,3.2,0,22.4,5.8,4.7,7.5,0,1.8,3.4,10.2,152.8,8.03615963
17,Courtland Sutton,WR,DEN,12,4,8.7,18.2,15.2,7.6,8.7,7.2,12.3,BYE,13.8,2.7,19.4,3.4,7.9,4.1,5.2,9.4,150.4,5.078754769
18,Stefon Diggs,WR,HOU,3.7,8.9,1.5,8.8,4.4,36.5,14.3,12.3,1.6,4.9,18.1,0,5.2,9.2,8,11.7,0,9.9,149.1,8.537237789
19,John Brown,WR,FA,18.3,7.2,5.5,6.9,7.5,0,14.3,5.4,7.6,7.7,25.7,9.9,7.7,2.6,9.9,11.6,0,9.9,147.8,6.15328421
20,Michael Gallup,WR,FA,15.8,6.8,0,0,17.3,4.8,3.4,0,9.3,13.6,14.8,5.5,6.3,10.9,0.6,9.8,27.8,10.5,146.7,7.325681234
21,DJ Moore,WR,CHI,5.6,8.9,12.4,4.4,9.1,8.6,0,3.8,10.1,12,9.5,25.4,13.2,8.1,12.3,0.1,0,9.6,143.5,6.020363368
22,Robert Woods,WR,HOU,8.6,4.2,5.8,16.4,4.8,7.6,8.6,4.2,0,9.5,0,9.7,17.2,18.7,1.7,12.3,13.6,9.5,142.9,5.606768031
