Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Geraud Sanders*,Air Force,MWC,13,30,746,24.9,7,2,-36,-18.0,0,32,710,22.2,7,geraud-sanders-1
2,Simi Fehoko,Stanford,Pac-12,12,24,566,23.6,6,0,0,,0,24,566,23.6,6,simi-fehoko-1
3,CeeDee Lamb*,Oklahoma,Big 12,13,62,1327,21.4,14,9,20,2.2,1,71,1347,19.0,15,ceedee-lamb-1
4,Ja'Marr Chase*,LSU,SEC,14,84,1780,21.2,20,1,5,5.0,0,85,1785,21.0,20,jamarr-chase-1
5,Marquez Callaway*,Tennessee,SEC,13,30,635,21.2,6,0,0,,0,30,635,21.2,6,marquez-callaway-1
6,Kendall Parham*,UAB,CUSA,13,29,608,21.0,6,1,11,11.0,0,30,619,20.6,6,kendall-parham-1
7,Tarique Milton*,Iowa State,Big 12,13,35,722,20.6,3,0,0,,0,35,722,20.6,3,tarique-milton-1
8,Rashod Bateman*,Minnesota,Big Ten,13,60,1219,20.3,11,0,0,,0,60,1219,20.3,11,rashod-bateman-1
9,Dyami Brown*,North Carolina,ACC,13,51,1034,20.3,12,1,2,2.0,0,52,1036,19.9,12,dyami-brown-1
10,Frank Darby*,Arizona State,Pac-12,13,31,616,19.9,8,0,0,,0,31,616,19.9,8,frank-darby-1
11,Tamorrion Terry*,Florida State,ACC,13,60,1188,19.8,9,4,9,2.3,0,64,1197,18.7,9,tamorrion-terry-1
12,Tee Higgins*,Clemson,ACC,15,59,1167,19.8,13,1,36,36.0,1,60,1203,20.1,14,tee-higgins-1
13,Shane Hooks*,Ohio,MAC,10,26,515,19.8,5,0,0,,0,26,515,19.8,5,shane-hooks-1
14,Shane Hooks*,Ohio,MAC,13,26,515,19.8,5,0,0,,0,26,515,19.8,5,shane-hooks-2
15,Nico Collins*,Michigan,Big Ten,12,37,729,19.7,7,0,0,,0,37,729,19.7,7,nico-collins-1
16,Jyaire Shorter,North Texas,CUSA,12,24,473,19.7,9,0,0,,0,24,473,19.7,9,jyaire-shorter-1
17,Bryce Mitchell,Toledo,MAC,12,35,679,19.4,4,0,0,,0,35,679,19.4,4,bryce-mitchell-1
18,Austin Maloney*,Florida International,CUSA,13,33,639,19.4,2,0,0,,0,33,639,19.4,2,austin-maloney-1
19,Antonio Gibson*,Memphis,American,14,38,735,19.3,8,33,369,11.2,4,71,1104,15.5,12,antonio-gibson-2
20,Jalen Tolbert,South Alabama,Sun Belt,12,27,521,19.3,6,0,0,,0,27,521,19.3,6,jalen-tolbert-1
21,Austin Watkins*,UAB,CUSA,14,57,1092,19.2,6,1,-1,-1.0,0,58,1091,18.8,6,austin-watkins-1
22,Josh Imatorbhebhe*,Illinois,Big Ten,11,33,634,19.2,9,0,0,,0,33,634,19.2,9,josh-imatorbhebhe-1
23,Jordan Kress,New Mexico,MWC,10,28,530,18.9,6,0,0,,0,28,530,18.9,6,jordan-kress-1
24,Jordan Kress,New Mexico,MWC,12,28,530,18.9,6,0,0,,0,28,530,18.9,6,jordan-kress-2
25,Reggie Roberson Jr.*,SMU,American,8,43,803,18.7,6,2,7,3.5,0,45,810,18.0,6,reggie-roberson-jr-1
26,Henry Ruggs III*,Alabama,SEC,12,40,746,18.7,7,2,75,37.5,1,42,821,19.5,8,henry-ruggs-iii-1
27,Yo'Heinz Tyler,Ball State,MAC,12,27,504,18.7,5,0,0,,0,27,504,18.7,5,yoheinz-tyler-1
28,DeVonta Smith*,Alabama,SEC,13,68,1256,18.5,14,0,0,,0,68,1256,18.5,14,devonta-smith-1
29,John Hightower*,Boise State,MWC,14,51,943,18.5,8,16,154,9.6,0,67,1097,16.4,8,john-hightower-1
30,Quez Watkins*,Southern Mississippi,CUSA,12,64,1178,18.4,6,1,1,1.0,0,65,1179,18.1,6,quez-watkins-1
31,Brandon Aiyuk*,Arizona State,Pac-12,12,65,1192,18.3,8,1,6,6.0,0,66,1198,18.2,8,brandon-aiyuk-1
32,JD Spielman,Nebraska,Big Ten,12,49,898,18.3,5,4,31,7.8,0,53,929,17.5,5,jd-spielman-1
33,Chatarius Atwell*,Louisville,ACC,13,70,1276,18.2,12,8,29,3.6,0,78,1305,16.7,12,chatarius-atwell-1
34,Hunter Long*,Boston College,ACC,13,28,509,18.2,2,0,0,,0,28,509,18.2,2,hunter-long-3
35,Dez Fitzpatrick*,Louisville,ACC,13,35,635,18.1,6,0,0,,0,35,635,18.1,6,dez-fitzpatrick-1
36,Jahan Dotson*,Penn State,Big Ten,13,27,488,18.1,5,2,0,0.0,0,29,488,16.8,5,jahan-dotson-1
37,Griffin Hebert*,Louisiana Tech,CUSA,13,30,537,17.9,6,0,0,,0,30,537,17.9,6,griffin-hebert-1
