Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Chris Lewis*,Troy,Sun Belt,14,32,735,23.0,10,1,1,1.0,0,33,736,22.3,10,chris-lewis-7
2,Javon Baker*,UCF,Big 12,13,52,1139,21.9,7,0,0,,0,52,1139,21.9,7,javon-baker-1
3,Kelly Akharaiyi,UTEP,CUSA,12,48,1033,21.5,7,1,7,7.0,0,49,1040,21.2,7,kelly-akharaiyi-1
4,Nic Anderson*,Oklahoma,Big 12,13,38,798,21.0,10,0,0,,0,38,798,21.0,10,nic-anderson-1
5,Kobe Hudson*,UCF,Big 12,13,44,900,20.5,8,1,-8,-8.0,0,45,892,19.8,8,kobe-hudson-1
6,Jermaine Burton*,Alabama,SEC,13,39,798,20.5,8,0,0,,0,39,798,20.5,8,jermaine-burton-1
7,Quentin Skinner*,Kansas,Big 12,13,29,587,20.2,2,2,8,4.0,0,31,595,19.2,2,quentin-skinner-2
8,Reggie Brown*,James Madison,Sun Belt,13,53,1054,19.9,9,0,0,,0,53,1054,19.9,9,reggie-brown-12
9,Jeff Foreman*,Arkansas State,Sun Belt,13,29,573,19.8,4,0,0,,0,29,573,19.8,4,jeff-foreman-1
10,Corey Rucker*,Arkansas State,Sun Belt,13,36,705,19.6,2,1,6,6.0,0,37,711,19.2,2,corey-rucker-1
11,Darrell Harding Jr.,Buffalo,MAC,12,23,451,19.6,3,0,0,,0,23,451,19.6,3,darrell-harding-jr-1
12,CJ Daniels*,Liberty,CUSA,14,55,1067,19.4,10,0,0,,0,55,1067,19.4,10,cj-daniels-1
13,Dalevon Campbell,Nevada,MWC,12,31,594,19.2,2,1,-1,-1.0,0,32,593,18.5,2,dalevon-campbell-1
14,Jakarius Caston,Southern Mississippi,Sun Belt,12,33,621,18.8,6,4,32,8.0,1,37,653,17.6,7,jakarius-caston-1
15,Eric McAlister*,Boise State,MWC,9,47,873,18.6,5,0,0,,0,47,873,18.6,5,eric-mcalister-1
16,Kyren Lacy*,LSU,SEC,13,30,558,18.6,7,0,0,,0,30,558,18.6,7,kyren-lacy-1
17,Devin Carter*,West Virginia,Big 12,12,27,501,18.6,2,0,0,,0,27,501,18.6,2,devin-carter-2
18,Chris Tyree*,Notre Dame,Ind,12,26,484,18.6,3,3,-1,-0.3,0,29,483,16.7,3,chris-tyree-1
19,Jayden Higgins*,Iowa State,Big 12,13,53,983,18.5,6,0,0,,0,53,983,18.5,6,jayden-higgins-1
20,Damien Alford*,Syracuse,ACC,13,33,610,18.5,3,0,0,,0,33,610,18.5,3,damien-alford-1
21,Caleb Medford,New Mexico,MWC,12,30,551,18.4,2,0,0,,0,30,551,18.4,2,caleb-medford-1
22,Tejhaun Palmer,UAB,American,12,47,858,18.3,7,0,0,,0,47,858,18.3,7,tejhaun-palmer-1
23,Ramel Keyton*,Tennessee,SEC,13,35,642,18.3,6,0,0,,0,35,642,18.3,6,ramel-keyton-1
24,Tre Harris*,Ole Miss,SEC,12,54,985,18.2,8,0,0,,0,54,985,18.2,8,tre-harris-1
25,Lawrence Keys III*,Tulane,American,10,33,599,18.2,7,4,25,6.3,0,37,624,16.9,7,lawrence-keys-iii-1
