#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL,STD_DEV
1,Justin Jefferson,WR,MIN,30.4,4.8,1.4,21,18.3,10.7,BYE,9.8,18.5,25.3,3.3,20.3,11.6,22.3,18.3,19.3,1.5,3.8,14.2,240.7,8.716523703
2,Davante Adams,WR,LV,20.1,7.2,9.2,10.5,24.4,BYE,9.5,0.2,26.6,18.6,26.1,7.4,29.7,7.1,2.8,1.5,27.3,7.3,13.9,235.5,9.715610098
3,Tyreek Hill,WR,MIA,10,31,3.3,15.9,6,17.7,7.2,19.5,20.3,10.4,BYE,9,20.6,14.1,12.9,10.3,11.7,2.3,13.1,222.2,7.033095269
4,A.J. Brown,WR,PHI,15.5,6.9,14.5,9.5,3.2,12.7,BYE,33.6,11.9,0.7,4,8.6,23.9,13,18.1,10.3,15.7,9.5,12.4,211.6,7.661064098
5,Stefon Diggs,WR,HOU,18.2,32.8,7.4,6.2,16.2,20.8,0,16.8,9.3,12.8,10.8,13.7,15.2,3.7,5.7,2.6,2.6,16.4,12.4,211.2,7.866525422
6,CeeDee Lamb,WR,DAL,2.9,8.1,14.7,15.7,5.3,7.7,6.6,13.8,BYE,27,4.5,11.7,15.4,3.3,12.7,24,10,11.2,11.4,194.6,6.540832619
7,Jaylen Waddle,WR,MIA,13.7,29.1,11.1,3.9,2.3,10.9,8.8,22.6,14.5,6.6,BYE,8.5,0.9,3.1,17.4,20.3,5.2,5.3,10.8,184.2,7.653599013
8,Amari Cooper,WR,CLE,1.7,16.1,16.1,0.9,13.6,10.4,7.4,18.1,BYE,3.2,23.3,9.4,4,4.2,5.8,7.2,22.5,5.1,9.9,169,6.904479264
9,Amon-Ra St. Brown,WR,DET,12.4,30.4,7.3,0,1.8,BYE,0.4,6.9,5.5,12.1,8,18.9,23.6,7.4,8.2,7.6,6.2,4.9,10.1,161.6,7.833222655
10,DeVonta Smith,WR,PHI,0,8,22.9,1.7,8.7,10.4,BYE,2.3,2.2,7.9,7.8,5,16.2,12.4,12.6,23.3,11.5,6.7,9.4,159.6,6.55365927
11,Christian Kirk,WR,JAC,11.7,19.8,13.2,6.3,1.1,6.8,10.1,4,13.6,22.5,BYE,4.1,10.4,4.5,9.2,2.6,2.1,15.9,9.3,157.9,6.071910481
12,Ja'Marr Chase,WR,CIN,18.9,5.8,6.7,8.1,5,25.2,25,0,0,BYE,0,0,9.7,18.5,12,5.9,0,14.6,12,155.4,8.381215609
13,Tyler Lockett,WR,SEA,2.8,10.7,7.6,7.1,22.4,1.7,4.5,10.3,12.7,10.2,BYE,12.8,18.8,12,6.8,0,1.5,11.4,9.6,153.3,5.861864318
14,Terry McLaurin,WR,WAS,11.8,8.2,10.2,1.5,7.6,5.2,13.3,10.6,5.6,12.8,5.6,5.3,16.5,BYE,7,13.7,3.7,13.4,8.9,152,4.091606735
15,Brandon Aiyuk,WR,SF,4.7,6.3,9.9,3.7,5.8,20.3,8.2,14.1,BYE,6.4,14,6.5,4.6,11.7,1.9,8.1,17.7,5.9,8.8,149.8,4.96954044
16,Mike Evans,WR,TB,13.1,6.1,0,22.3,8.1,4.2,9.6,12.3,4,5.4,BYE,3.1,5.9,4.4,8.3,2.9,38.7,0,9.9,148.4,9.143610093
17,Tee Higgins,WR,CIN,2.7,13.1,9.3,18.4,0,4.7,9.3,10.9,6,BYE,14.8,17.4,9.5,0,11.3,18.8,1.3,0.7,9.9,148.2,6.281366964
18,Jerry Jeudy,WR,CLE,16.2,1.2,1.7,11.3,5.3,5.4,9.6,12.3,BYE,0,0,0,6.5,25.3,7.6,11.7,3.8,19.3,9.1,137.2,7.078531312
19,DK Metcalf,WR,SEA,1.6,3.5,12.4,14.9,12.8,3.4,1.2,11.5,9.7,7.1,BYE,9,18.7,13.1,5.5,8.1,0.3,4,8,136.8,5.188121914
20,DJ Moore,WR,CHI,5,10.3,1.5,6.1,6.7,0.7,12.6,21.5,2.4,2.9,2.4,16.3,0,0.6,13.3,15.1,17.7,1,8,136.1,6.720791859
21,Garrett Wilson,WR,NYJ,5.2,22,6,4.1,2.7,0.8,2.4,11.5,9.9,BYE,1.2,21.4,16.2,7.8,9.8,1,1.8,8.9,7.8,132.7,6.571459735
22,Cooper Kupp,WR,LAR,18.8,20.8,12.4,12.2,18.9,9.7,BYE,14.9,18.8,0.1,0,0,0,0,0,0,0,0,14,126.4,8.305357424
23,Chris Olave,WR,NO,6.1,6,14.7,12.7,11.4,0,10.6,5.2,7.1,4,16.2,6.2,6.5,BYE,5.3,0,4.2,10,8.4,126.2,4.461406981
24,Gabe Davis,WR,JAC,14.8,0,3.7,1.3,29.1,13.4,0,3.5,3.3,15.3,6.8,3.8,7.5,3.1,5.6,8.5,0,3.9,8.2,123.6,7.128425103
25,Christian Watson,WR,GB,4.1,0.9,0,8.3,0.2,0,0,1.2,2.4,28.7,17.1,17,21.4,BYE,4.6,4.9,1.1,11.6,8.8,123.1,8.54248491
26,Chris Godwin,WR,TB,3.5,0,0,5.9,6.3,9.5,4.5,7.5,3.7,13.1,BYE,17,6.3,5.4,14.3,6.3,12,3.5,7.9,118.8,4.645539588
27,Michael Pittman Jr.,WR,IND,18.1,0,7.2,3.1,5.9,13.4,3.8,5.3,2.2,5.3,7.5,12.1,1.6,BYE,9,3.9,10.1,9,7.3,117.5,4.545182628
28,Tyler Boyd,WR,TEN,9.3,3.7,16.5,5.6,3.2,6.6,21.5,9.8,4.4,0,4.2,1.6,6,0,9.5,2.1,7.4,5.1,6.9,116.5,5.337790383
29,Zay Jones,WR,ARI,6.5,2.3,14.5,0,1.2,4.2,6.8,3.5,4,6.8,0,16.5,1.6,13.7,28.9,1.1,2.4,2.1,7.3,116.1,7.294766008
30,Allen Lazard,WR,NYJ,0,7.3,10.5,11.6,9.5,13.6,5.5,0,14.7,4.5,5.7,2.4,6.7,0,0.7,6.1,5.9,10.1,7.7,114.8,4.505497328
31,George Pickens,WR,PIT,0.3,2.3,3.9,10.2,8.3,2.8,12.1,0,BYE,11.5,14.3,7.7,0.2,7.8,5.3,11.7,2.9,13.2,6.7,114.5,4.734844699
32,Mike Williams,WR,NYJ,1,17.3,7.5,12,13.4,1.7,14.6,0,0,BYE,1.5,0,0,17.6,6.7,7.6,9.4,3.2,8.7,113.5,6.191220483
33,Jakobi Meyers,WR,LV,6.2,9.5,0,0,17.1,6,9.4,12,2.4,0,5.2,6.2,2.2,0,2.7,14.3,10.9,9.2,8.1,113.3,5.096891452
34,Deebo Samuel Sr.,WR,SF,10.6,9.7,7.9,17.7,9.2,9,4.4,0,BYE,5.1,15.4,4.3,6.3,10.4,0,0,0,2.4,8.6,112.4,5.197610577
35,Curtis Samuel,WR,BUF,11.2,15.9,6.1,3.8,6.2,0.6,7.9,7.9,14.1,4,8.8,1.3,8.6,0,4.5,11.4,0.6,0.6,6.6,112.3,4.694378698
36,Adam Thielen,WR,CAR,3.6,5.2,12.1,7.2,2.7,11.6,0,6.7,6.7,4.9,2.5,12.1,2.7,12.5,10.1,0.6,1.6,7.2,6.5,110,4.045833095
37,JuJu Smith-Schuster,WR,FA,5.9,1,8.9,4.6,3.3,17.3,18.4,0,8.8,3.3,0,3.8,3.5,13.4,6.8,2.7,2.1,3.5,6.7,107.3,5.323234072
38,Drake London,WR,ATL,7.4,16.6,11.4,1.7,3.5,4,0.9,3.1,0.3,9.8,6.2,2.9,9.5,BYE,5,7.6,4.7,12,6.3,106.6,4.307826626
39,Donovan Peoples-Jones,WR,DET,6,0,1,7.1,5,7.6,5.1,8.1,0,9.9,12.1,1.6,10.4,11.4,9.1,0.2,7.3,4.2,6.2,106.1,3.910594189
40,Keenan Allen,WR,CHI,6.6,0,0,0,0,0,1.1,0,0,0,7.4,10.9,14.8,9.2,8.6,10.4,6.8,22.2,9.8,98,6.278996932
41,Joshua Palmer,WR,LAC,0.9,9,9.9,2.5,2.4,5.7,0,BYE,10.6,4.4,22.6,5.6,6,5.3,4.9,1.6,0,5.9,6.1,97.3,5.239727138
42,Mack Hollins,WR,BUF,1.6,6.6,22,3.3,0,0,10.4,6.4,1.7,1.8,5.2,12.3,3.5,6.2,10,0.7,4,1.5,5.7,97.2,5.370392082
43,K.J. Osborn,WR,NE,1.4,2.5,13.3,0.5,4.1,1.8,0,6.8,0,3.7,1.7,1.3,1.7,9.8,21.7,1.7,11.9,11.7,5.6,95.6,5.837511731
43,Jahan Dotson,WR,WAS,15,13.9,1,10.3,0,0,0,0,0,1.4,1.6,0,11.4,BYE,16.5,13.6,3.7,7.2,8,95.6,6.159213988
45,Courtland Sutton,WR,DEN,7.2,12.7,9.7,11.2,7.4,1.4,2.3,1.3,BYE,6.6,8,7.5,0,0,0,6.4,4.4,9.3,6.4,95.4,3.997187593
46,Diontae Johnson,WR,CAR,5.5,7.7,8.4,2.2,6,3.6,4.5,3.5,0,6.3,2.2,4.9,6,8.2,10,6.4,3.5,5.8,5.6,94.7,2.435875131
47,Hollywood Brown,WR,KC,10.3,6.8,14,14.8,13.8,6.8,0,BYE,0,0,0,4.6,0,3.4,1.9,5.8,6.1,0.7,7.4,89,5.120769838
