#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL,STD_DEV
30,Chris Godwin,WR,TB,7.9,0,12.4,0,0,4.8,14.8,0,4.1,9.2,11.3,9.7,BYE,2.5,9.6,14.4,25.3,10.5,126,6.778135806
31,Cole Beasley,WR,FA,5.8,7,10,9.2,5.3,10.5,11.2,2.4,3.9,16.9,0,7.3,19,4.1,11.2,1.7,0,8.4,125.5,5.261316688
32,Hollywood Brown,WR,KC,10.1,4.2,1.3,8.6,13.8,5.7,0,6.3,3.8,1.4,0,14.5,9.9,11,9.8,8.5,16.1,7.8,125,4.922710593
33,Brandon Aiyuk,WR,SF,0,2.1,16.1,11.6,4.4,7.2,11.5,15.1,0,12.7,BYE,0,15.5,11.9,13.3,3.1,0,10.4,124.5,6.075176824
34,Cooper Kupp,WR,LAR,4,8,16.7,12.7,6.6,1.1,5.9,11,BYE,5,14.5,4.1,7.3,9.3,3.9,6.6,0,7.8,116.7,4.473459057
35,Jarvis Landry,WR,FA,6.1,4.6,3.6,10.3,8.8,4,6,5.2,0,2.9,2.6,20.3,12.4,5.7,12.1,0,11.4,7.7,116,5.042470148
36,Michael Gallup,WR,FA,5,5.8,19.8,2.9,7.3,2.3,0,6.1,3.6,0,2.9,4.1,14.6,2.3,8.6,24.1,4.9,7.1,114.3,6.516001066
37,Tyler Boyd,WR,TEN,3.3,13.2,12.5,9.4,4.2,7.9,16.7,13.6,0,4.1,8.5,1.5,13.2,4.3,0,0,1.2,7.6,113.6,5.423286967
38,Jamison Crowder,WR,WAS,17.5,0,0,10.4,17.6,4.8,0,BYE,8.6,0,1.6,3.1,16.7,0.7,6.6,22.3,3.1,9.4,113,7.353219958
39,Tim Patrick,WR,DEN,2.9,2.4,10.3,17.3,BYE,10.1,4.4,0,8.9,6.1,11.9,0,16.4,9.6,1.4,3.9,4.6,7.3,110.2,5.240452628
40,Russell Gage,WR,BAL,11.4,10.6,2.6,2,1.6,6.5,5.4,2.5,1.1,0,5.8,3.4,11.1,13.8,12.8,2.3,16.2,6.8,109.1,4.998615725
41,T.Y. Hilton,WR,FA,5.3,2.8,5.2,2.9,6.9,1.1,0,0.9,0,4,3.6,14.1,17,20.6,7.1,6,10.7,7.2,108.2,5.812657707
42,Mike Williams,WR,NYJ,6.9,1.4,1.7,0,22.9,0,0.4,16,8.1,3.8,13.2,2.6,4.3,0,2.2,5.4,16.8,7,105.7,6.737099681
43,Jerry Jeudy,WR,CLE,5.6,6.2,5.5,12.1,0,3.2,2,7.3,18.5,6.8,3.7,0,0.5,4.2,1.9,6.1,22,6.6,105.6,5.955312246
44,Marquez Valdes-Scantling,WR,BUF,15.6,6.4,0.5,4.5,0,3.2,0.9,2.3,17.3,20.9,3.5,0,0.4,14.5,0,0,15.1,6.5,104.3,7.104947348
45,Emmanuel Sanders,WR,FA,7.5,1.8,11.6,9.3,12.2,0,0,0,9.8,0.5,6.6,0.4,3.9,10.8,7.6,9.5,12.3,7.4,103.8,4.644727636
46,DeVante Parker,WR,FA,4.7,11.3,6.9,11,11,3.5,0,6.3,6.4,3.1,12.1,11.9,3.5,0,0,0,11.6,7.4,103.3,4.531137945
47,Gabe Davis,WR,JAC,1.6,6.6,8.1,8.6,5.8,0.7,1.1,0,13,0,0,13.9,12.8,7.9,1.8,3.3,16.7,6.4,101.9,5.378111476
48,DJ Chark Jr.,WR,LAC,8.5,8.4,0,21.5,1.6,4.5,2.6,0,20.6,5.6,4.1,0,4.1,1.6,5.3,12.2,0,7.7,100.6,6.454112715
49,Keelan Cole Sr.,WR,FA,10.7,11.8,4.3,4.6,8.7,14.3,1.2,0,0.6,16.7,2.6,4.4,0.7,12.7,2.2,2.6,2.3,6.3,100.4,5.236126834
50,Laviska Shenault Jr.,WR,SEA,10.7,7.2,3.4,9.1,7.9,1.1,4.4,0,0.1,0,0,3.7,12.8,5.1,4.4,10.8,18.6,7.1,99.1,5.140160083
51,Christian Kirk,WR,JAC,0,6,0,7.9,7.8,20.6,15.7,BYE,18.3,2.7,5,1.9,0.2,1.4,3.3,7.6,0,7,98.4,6.453584275
52,Sterling Shepard,WR,TB,4.7,3.5,0,0,0,0,11.9,7.4,5.7,4.7,0,6.8,4.2,3.5,4.8,13.7,25.6,8,96.5,6.323302322
53,Julio Jones,WR,FA,15.7,2.4,0,3.2,0,25.7,9.7,13.7,11.4,0,3.9,0,9.4,0,0,0,0,10.6,95.1,7.30144793
54,Zach Pascal,WR,ARI,1.8,7.9,3.4,5.8,1.5,11.4,0,4.4,5.5,3.3,5.4,2.3,1.1,2.7,19.9,12.4,4.1,5.8,92.9,4.883458415
55,Darnell Mooney,WR,ATL,3.8,9.6,1.9,4.9,1.5,3.6,4,12.9,4.3,0.3,0,5.4,4.3,8.7,12.5,4.1,9.3,5.7,91.1,3.797221712
56,Darius Slayton,WR,NYG,22.2,3.3,3.3,4.8,12.9,9.8,2.3,5.6,0.8,9.3,BYE,0,1.4,3.1,7.4,2.6,2.2,5.7,91,5.501462874
