Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Jaylen Hall,Western Michigan,MAC,5,12,323,26.9,7,0,0,,0,12,323,26.9,7,jaylen-hall-1
2,Lavel Davis,Virginia,ACC,8,20,515,25.8,5,0,0,,0,20,515,25.8,5,lavel-davis-1
3,Bryce Mitchell,Toledo,MAC,6,13,306,23.5,4,0,0,,0,13,306,23.5,4,bryce-mitchell-1
4,D'Wayne Eskridge,Western Michigan,MAC,6,34,784,23.1,8,1,27,27.0,0,35,811,23.2,8,dwayne-eskridge-1
5,Quentin Johnston,TCU,Big 12,9,22,487,22.1,2,3,3,1.0,2,25,490,19.6,4,quentin-johnston-1
6,Reggie Roberson Jr.,SMU,American,5,22,474,21.5,5,0,0,,0,22,474,21.5,5,reggie-roberson-jr-1
7,C.J. Johnson,East Carolina,American,9,19,405,21.3,6,0,0,,0,19,405,21.3,6,cj-johnson-6
8,Jaylen Waddle*,Alabama,SEC,6,28,591,21.1,4,3,12,4.0,0,31,603,19.5,4,jaylen-waddle-1
9,Austin Trammell,Rice,CUSA,3,16,335,20.9,6,0,0,,0,16,335,20.9,6,austin-trammell-1
10,Deonte Simpson*,North Texas,CUSA,8,25,517,20.7,4,0,-4,,0,25,513,20.5,4,deonte-simpson-1
11,Isiah Cox,Ohio,MAC,3,7,142,20.3,1,1,28,28.0,0,8,170,21.3,1,isiah-cox-1
12,Dallas Dixon,Central Michigan,MAC,4,13,263,20.2,1,0,0,,0,13,263,20.2,1,dallas-dixon-1
13,Donavon Greene*,Wake Forest,ACC,8,29,582,20.1,2,0,0,,0,29,582,20.1,2,donavon-greene-1
14,Dyami Brown*,North Carolina,ACC,11,55,1099,20.0,8,0,0,,0,55,1099,20.0,8,dyami-brown-1
15,Isaiah Likely*,Coastal Carolina,Sun Belt,11,30,601,20.0,5,0,0,,0,30,601,20.0,5,isaiah-likely-1
16,Greg Dulcich,UCLA,Pac-12,7,26,517,19.9,5,0,0,,0,26,517,19.9,5,greg-dulcich-1
17,Trevor Wilson*,Buffalo,MAC,7,16,319,19.9,3,0,0,,0,16,319,19.9,3,trevor-wilson-1
18,Jalen Nailor,Michigan State,Big Ten,7,26,515,19.8,4,2,11,5.5,0,28,526,18.8,4,jalen-nailor-1
19,Gunner Romney*,Brigham Young,Ind,10,39,767,19.7,2,6,15,2.5,1,45,782,17.4,3,gunner-romney-1
20,Jack Sorenson,Miami (OH),MAC,3,18,354,19.7,4,0,0,,0,18,354,19.7,4,jack-sorenson-1
21,Ryan O'Keefe*,UCF,American,10,20,391,19.6,3,0,0,,0,20,391,19.6,3,ryan-okeefe-1
22,Ty Fryfogle*,Indiana,Big Ten,8,37,721,19.5,7,0,0,,0,37,721,19.5,7,ty-fryfogle-1
23,Chris Autman-Bell,Minnesota,Big Ten,7,22,430,19.5,1,0,0,,0,22,430,19.5,1,chris-autman-bell-1
24,Dez Fitzpatrick,Louisville,ACC,11,43,833,19.4,3,0,0,,0,43,833,19.4,3,dez-fitzpatrick-1
25,Kenny Yeboah*,Ole Miss,SEC,8,27,524,19.4,6,0,0,,0,27,524,19.4,6,kenny-yeboah-1
26,Michael Woods,Arkansas,SEC,10,32,619,19.3,5,1,2,2.0,0,33,621,18.8,5,michael-woods-4
27,Devon Williams*,Oregon,Pac-12,6,15,286,19.1,2,0,0,,0,15,286,19.1,2,devon-williams-2
28,Jacob Copeland*,Florida,SEC,11,23,435,18.9,3,1,17,17.0,0,24,452,18.8,3,jacob-copeland-1
29,Brycen Tremayne,Stanford,Pac-12,6,14,265,18.9,0,0,0,,0,14,265,18.9,0,brycen-tremayne-1
30,Rachaad White,Arizona State,Pac-12,4,8,151,18.9,1,42,420,10.0,5,50,571,11.4,6,rachaad-white-1
31,Isaiah McKoy,Kent State,MAC,4,25,455,18.2,5,0,0,,0,25,455,18.2,5,isaiah-mckoy-1
32,Jacob Harris*,UCF,American,10,30,539,18.0,8,0,0,,0,30,539,18.0,8,jacob-harris-2
33,Kevin Shaa*,Liberty,Ind,11,25,450,18.0,4,0,0,,0,25,450,18.0,4,kevin-shaa-1
34,Kyle Pitts*,Florida,SEC,8,43,770,17.9,12,0,0,,0,43,770,17.9,12,kyle-pitts-1
35,Jason Brownlee,Southern Mississippi,CUSA,10,34,610,17.9,5,0,0,,0,34,610,17.9,5,jason-brownlee-1
36,Jaylon Robinson*,UCF,American,10,55,979,17.8,6,0,0,,0,55,979,17.8,6,jaylon-robinson-1
37,Bailey Gaither*,San Jose State,MWC,7,41,725,17.7,4,0,0,,0,41,725,17.7,4,bailey-gaither-1
38,Deuce Vaughn,Kansas State,Big 12,10,25,434,17.4,2,123,642,5.2,7,148,1076,7.3,9,deuce-vaughn-1
39,T.J. Simmons*,West Virginia,Big 12,8,23,401,17.4,4,2,16,8.0,0,25,417,16.7,4,tj-simmons-4
40,CT Thomas,Boise State,MWC,7,20,347,17.4,2,4,4,1.0,0,24,351,14.6,2,ct-thomas-1
41,Romeo Doubs*,Nevada,MWC,9,58,1002,17.3,9,1,-4,-4.0,0,59,998,16.9,9,romeo-doubs-1
42,Sam Pinckney*,Georgia State,Sun Belt,10,47,815,17.3,7,0,0,,0,47,815,17.3,7,sam-pinckney-1
43,Tahj Washington*,Memphis,American,11,43,743,17.3,6,4,11,2.8,1,47,754,16.0,7,tahj-washington-1
44,Jaray Jenkins,LSU,SEC,10,23,397,17.3,2,0,0,,0,23,397,17.3,2,jaray-jenkins-1
45,Isaiah Winstead,Toledo,MAC,6,25,429,17.2,3,0,0,,0,25,429,17.2,3,isaiah-winstead-1
46,Javon McKinley*,Notre Dame,ACC,12,42,717,17.1,3,1,15,15.0,0,43,732,17.0,3,javon-mckinley-1
47,Kyle Patterson,Air Force,MWC,5,12,205,17.1,2,0,0,,0,12,205,17.1,2,kyle-patterson-1
48,Dax Milne*,Brigham Young,Ind,12,70,1188,17.0,8,11,67,6.1,0,81,1255,15.5,8,dax-milne-1
49,Jalen Tolbert,South Alabama,Sun Belt,11,64,1085,17.0,8,0,0,,0,64,1085,17.0,8,jalen-tolbert-1
50,Jahan Dotson,Penn State,Big Ten,9,52,884,17.0,8,0,0,,0,52,884,17.0,8,jahan-dotson-1
51,Jacob Cowing,UTEP,CUSA,8,41,691,16.9,3,0,0,,0,41,691,16.9,3,jacob-cowing-1
52,Dahu Green,Arkansas State,Sun Belt,10,32,542,16.9,5,0,0,,0,32,542,16.9,5,dahu-green-1
53,Garrett Wilson*,Ohio State,Big Ten,8,43,723,16.8,6,2,67,33.5,0,45,790,17.6,6,garrett-wilson-2
54,Brennan Eagles*,Texas,Big 12,9,28,469,16.8,5,0,0,,0,28,469,16.8,5,brennan-eagles-1
55,Tory Horton*,Nevada,MWC,9,20,336,16.8,5,0,0,,0,20,336,16.8,5,tory-horton-1
56,Dimitri Stanley*,Colorado,Pac-12,6,20,335,16.8,1,1,-1,-1.0,0,21,334,15.9,1,dimitri-stanley-1
