#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL,STD_DEV
28,Courtland Sutton,WR,DEN,9.2,6.6,11.1,8.7,1.3,10.6,13.6,8.9,BYE,9.3,12.6,6.1,13.7,12.2,7.1,0,0,0.2,8.2,131.2,4.615859527
29,Zay Flowers,WR,BAL,8.7,6.8,5,5,7.3,11.1,7.5,1.9,1.1,7.3,5,18.2,BYE,14,0.7,13.2,16.6,0,8.1,129.4,5.315668554
30,Adam Thielen,WR,CAR,1.2,13.4,20.5,8.2,16.7,17.5,BYE,7.2,2.9,4.2,7.4,0.2,2.5,7.4,4.3,9.4,3.8,1.2,7.5,128,5.971970283
31,Jaylen Waddle,WR,MIA,7.8,8.4,0,4.6,9.5,11.1,6.3,18.1,5.4,BYE,5.5,11.4,5.2,7.9,20.2,5.2,0,0,9,126.6,5.447192223
32,Chris Godwin,WR,TB,5.1,5.8,5.2,11.4,BYE,7.7,6.6,12.8,1.6,5.4,3.9,4.5,7.9,5.3,15.5,7.9,14.1,5.5,7.4,126.2,3.725039188
33,Terry McLaurin,WR,WAS,3.1,11.4,4.1,8.6,4.9,8.1,9,12.3,7.3,3.3,4.3,5,0,BYE,20.1,5,12.1,5.6,7.3,124.2,4.597374006
34,Tyler Lockett,WR,SEA,1,17.9,5.4,5.4,BYE,9.4,3.8,14.1,3.2,15.2,5.1,3,4.7,8.9,2.1,8.1,1,15.1,7.3,123.4,5.214353361
35,Brandin Cooks,WR,DAL,2.2,0,1.7,2.7,1.3,11,BYE,11.2,0.7,23.3,4.2,13.2,12.5,3.7,1,8.3,12,10.2,7.5,119.2,6.185740942
36,Garrett Wilson,WR,NYJ,9.4,14.3,4.8,6,5.4,9,BYE,10.6,6,9.3,1.1,10.4,5,11.1,2.9,6.8,4.9,3.4,7,118.2,3.360538349
37,Tank Dell,WR,HOU,3.4,13.2,20.5,2.9,5.3,0,BYE,3.1,23.6,12.9,20.9,12.2,0,0,0,0,0,0,10.7,118,8.19656017
38,Gabe Davis,WR,JAC,3.2,15.2,9.3,12.1,16,0.1,0.6,14.7,0,7.6,0,16.5,0,0,0,19,2.1,0,6.8,116.4,7.029066636
39,Romeo Doubs,WR,GB,14.6,3,13.3,9.5,0.4,BYE,9,7.8,3.6,9.1,11.3,3.7,7.2,3.2,3,13.9,2.8,0,6.8,115.4,4.583972379
40,Rashid Shaheed,WR,NO,14,6.3,6,3.3,2.8,16.3,3.2,21.3,2.2,2.4,BYE,0.9,0,0,3.6,13.4,1.4,12.5,6.9,109.6,6.303977983
41,Cooper Kupp,WR,LAR,0,0,0,0,11.8,20.8,4.9,2.1,4.8,BYE,1.1,1.8,9.9,17.5,17.1,4.9,8.7,0,8.8,105.4,6.733061536
42,Drake London,WR,ATL,0,12.7,3.1,8.8,8.7,12.5,5.4,5.5,0,3.6,BYE,9.1,0.8,19.2,2.4,3.9,5.6,4.1,6.6,105.4,4.97286756
43,Diontae Johnson,WR,CAR,4.8,0,0,0,0,0,7.9,8.5,15,1.7,1.6,5,9.3,11.7,12.2,1.5,7.6,14.9,7.8,101.7,5.232298199
44,Darius Slayton,WR,NYG,1.5,6.2,3.2,2.3,3.5,6.9,2.2,0.1,5.9,2.1,14.2,1.6,BYE,1.4,6.3,15,16.6,12.2,5.9,101,5.16186442
45,Tee Higgins,WR,CIN,0,20.9,2.1,1.9,0,2,BYE,6.9,11,0,0,0,3.6,7.2,18.1,20,1.9,0,8,95.6,7.177786765
46,Curtis Samuel,WR,BUF,6,3.2,5.4,11.2,12.5,10.2,2.5,2.2,0,0.6,0.5,10,6.5,0,16.1,2,3.3,3,6,95.2,4.682578692
47,Christian Kirk,WR,JAC,0.9,11,11.4,8.4,8.4,10.9,13,4.6,BYE,8.4,4.8,8.9,2.6,0,0,0,0,0,7.8,93.3,4.661340675
48,Josh Downs,WR,IND,3,3.7,5.7,3.4,9.7,8.1,18.5,7.2,1,4,BYE,4.3,1.4,3.2,1.9,3.9,5.3,4.8,5.2,89.1,3.993974701
49,Josh Reynolds,WR,DEN,8,18.6,0,6.9,13.6,5,4.3,0.7,BYE,1.5,1.1,7.5,1.2,10.4,4.1,1.6,1.3,4.4,5.6,88.8,4.956572652
50,Jerry Jeudy,WR,CLE,0,2.5,8.1,5.2,5,1.4,6.4,11,0,3.5,5.8,1.1,5.1,1.6,7.4,4.4,5.4,13.9,5.5,87.8,3.587873953
51,Jaxon Smith-Njigba,WR,SEA,1.3,3.4,1,0.5,BYE,4.8,12.3,9.6,6.3,5.3,4,4.1,6.2,2.5,10.8,6.1,7.2,1.4,5.1,86.8,3.349533872
52,Hollywood Brown,WR,KC,5.7,11.4,12.1,9.6,12.1,3.4,4.9,9.3,2.4,2.8,1.2,8.8,0,0,0,0,0,0,6,83.7,4.550732542
53,Dontayvion Wicks,WR,GB,0,10,4.5,0,1,BYE,2.4,2.8,2.9,5.1,9.1,0,4.3,2,9.7,8.9,0,18.1,5.4,80.8,4.798543608
54,DJ Chark Jr.,WR,LAC,0,1.5,14.6,2.8,10.2,2.6,0,2.3,6.9,0,0,3.4,5.6,2.6,1.8,21.8,1.8,2.6,5.4,80.5,5.603055273
55,Tyler Boyd,WR,TEN,1,5.2,3.9,2.6,3.9,9.8,BYE,10.6,5.6,11.7,2.2,2.3,3.2,2.3,5.3,5.9,2.9,0.4,4.6,78.8,3.196862649
56,Michael Wilson,WR,ARI,1.9,5.6,8.6,19.6,1.8,6.2,2.6,5.8,0,3.4,0,0,0,BYE,0,0,11.5,9.5,5.9,76.5,5.229891462
57,Jahan Dotson,WR,WAS,4,2.2,2.1,8.7,3,0,4.3,16.8,12.9,0,8.3,5.2,2.3,BYE,1.2,3.1,0,1.7,4.5,75.8,4.564963607
58,Khalil Shakir,WR,BUF,0,7.1,0.5,0,1.1,1.3,3.5,9.2,5.7,2.4,17.5,4.7,BYE,1.2,0,4.5,4.9,10.5,4.6,74.1,4.537433691
59,Tutu Atwell,WR,LAR,11.9,8.2,13.2,2.4,6.9,3,9.1,4.9,1.3,BYE,1.7,7.6,0.9,0,0,0,0,2.3,4.6,73.4,4.227394594
60,Christian Watson,WR,GB,0,0,0,8.5,8.6,BYE,2.7,3.3,3.7,2.3,8.2,15.4,20.6,0,0,0,0,0,8.1,73.3,5.921434877
61,Wan'Dale Robinson,WR,NYG,0,0,2.1,4.7,1.9,6.2,2.2,1.7,9.5,0.6,3.7,2.6,BYE,11.5,2.5,1.6,13.9,8.5,4.9,73.2,4.04874281
62,Elijah Moore,WR,CLE,6.2,4.1,2.8,0,BYE,2.7,5.9,3,1.4,10.4,6,2.4,8.3,4.2,1.7,1.9,12.1,0,4.3,73.1,3.353488087
63,Odell Beckham Jr.,WR,MIA,3.7,2.9,0,0,1.3,3.4,4.9,0,9.6,10,11.6,3.4,0,15.7,1.4,1.3,3.3,0,5.2,72.5,4.513289704
64,K.J. Osborn,WR,NE,3.1,9.4,9.6,1.6,4.9,4.8,4.7,9.9,1.7,0,0.7,3.4,0,1.5,0.3,15.5,0,0.9,4.5,72,4.282911782
65,Joshua Palmer,WR,LAC,0.4,1.3,10.6,7.7,BYE,6,13.3,2.4,0,0,0,0,0,0,17.3,4.7,0,5,6.2,68.7,5.206902525
66,Noah Brown,WR,HOU,1.9,0,0,0,0,3.7,BYE,5.7,21.3,17.2,0,0,0,0,14.2,3.8,0.8,0,6.9,68.6,6.594198981
