Rk,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
40,Isaiah Williams,Illinois,Big Ten,6,63,389,6.2,1,0,0,,0,63,389,6.2,1,isaiah-williams-7
41,Deon McIntosh,Washington State,Pac-12,4,52,323,6.2,3,2,30,15.0,0,54,353,6.5,3,deon-mcintosh-1
42,Cameron Carroll*,Tulane,American,12,122,741,6.1,12,4,49,12.3,1,126,790,6.3,13,cameron-carroll-1
43,Logan Wright*,Georgia Southern,Sun Belt,13,99,602,6.1,4,8,121,15.1,1,107,723,6.8,5,logan-wright-2
44,Hassan Haskins,Michigan,Big Ten,6,61,375,6.1,6,0,0,,0,61,375,6.1,6,hassan-haskins-1
45,Tank Bigsby*,Auburn,SEC,10,138,834,6.0,5,11,84,7.6,0,149,918,6.2,5,tank-bigsby-1
46,Stephon Huderson*,Tulane,American,12,128,773,6.0,4,7,87,12.4,0,135,860,6.4,4,stephon-huderson-1
47,Desmond Ridder*,Cincinnati,American,10,98,592,6.0,12,0,0,,0,98,592,6.0,12,desmond-ridder-1
48,Armani Rogers,Ohio,MAC,3,19,114,6.0,2,0,0,,0,19,114,6.0,2,armani-rogers-1
49,Sincere McCormick*,UTSA,CUSA,11,249,1467,5.9,11,20,131,6.6,0,269,1598,5.9,11,sincere-mccormick-1
50,Frank Gore Jr.,Southern Mississippi,CUSA,10,121,708,5.9,2,9,97,10.8,1,130,805,6.2,3,frank-gore-jr-1
51,Toa Taua*,Nevada,MWC,8,114,675,5.9,4,31,214,6.9,1,145,889,6.1,5,toa-taua-1
52,Teon Dollard,Akron,MAC,6,112,666,5.9,6,10,29,2.9,0,122,695,5.7,6,teon-dollard-1
53,Darwin Barlow,TCU,Big 12,10,73,428,5.9,4,9,44,4.9,0,82,472,5.8,4,darwin-barlow-1
54,Deamonte Trayanum,Arizona State,Pac-12,4,49,290,5.9,4,1,5,5.0,0,50,295,5.9,4,deamonte-trayanum-1
55,Najee Harris*,Alabama,SEC,13,251,1466,5.8,26,43,425,9.9,4,294,1891,6.4,30,najee-harris-1
56,Trey Ragas*,Louisiana,Sun Belt,11,131,758,5.8,10,9,106,11.8,2,140,864,6.2,12,trey-ragas-1
57,Deandre Torrey*,North Texas,CUSA,9,113,656,5.8,6,4,20,5.0,0,117,676,5.8,6,deandre-torrey-1
58,Oscar Adaway III*,North Texas,CUSA,7,99,572,5.8,3,2,8,4.0,0,101,580,5.7,3,oscar-adaway-iii-1
59,Jordan Travis,Florida State,ACC,8,97,559,5.8,7,1,5,5.0,0,98,564,5.8,7,jordan-travis-1
60,Darius Boone Jr.,Eastern Michigan,MAC,3,44,254,5.8,2,1,13,13.0,0,45,267,5.9,2,darius-boone-jr-1
61,Alex Escobar,New Mexico State,Ind,1,14,81,5.8,0,0,0,,0,14,81,5.8,0,alex-escobar-1
62,Jarek Broussard*,Colorado,Pac-12,6,156,895,5.7,5,9,65,7.2,0,165,960,5.8,5,jarek-broussard-1
63,Joshua Mack*,Liberty,Ind,10,139,797,5.7,4,6,18,3.0,0,145,815,5.6,4,joshua-mack-1
64,Adrian Martinez,Nebraska,Big Ten,7,91,521,5.7,7,0,0,,0,91,521,5.7,7,adrian-martinez-2
65,Peytton Pickett*,Liberty,Ind,11,91,520,5.7,6,3,10,3.3,0,94,530,5.6,6,peytton-pickett-1
66,Mekhi Sargent,Iowa,Big Ten,8,76,432,5.7,7,1,6,6.0,0,77,438,5.7,7,mekhi-sargent-1
67,Breece Hall*,Iowa State,Big 12,12,279,1572,5.6,21,23,180,7.8,2,302,1752,5.8,23,breece-hall-1
68,Greg Bell,San Diego State,MWC,7,113,637,5.6,6,11,114,10.4,1,124,751,6.1,7,greg-bell-5
69,La'darius Jefferson,Western Michigan,MAC,6,112,624,5.6,5,4,17,4.3,0,116,641,5.5,5,ladarius-jefferson-1
70,SaRodorick Thompson,Texas Tech,Big 12,10,109,610,5.6,8,21,124,5.9,0,130,734,5.6,8,sarodorick-thompson-1
71,Daetrich Harrington*,Appalachian State,Sun Belt,6,106,595,5.6,7,2,15,7.5,0,108,610,5.6,7,daetrich-harrington-1
72,Xazavian Valladay,Wyoming,MWC,5,99,550,5.6,4,13,105,8.1,0,112,655,5.8,4,xazavian-valladay-1
73,Bobby Cole,New Mexico,MWC,7,97,548,5.6,6,5,75,15.0,1,102,623,6.1,7,bobby-cole-3
74,Frank Harris*,UTSA,CUSA,12,95,528,5.6,9,1,8,8.0,0,96,536,5.6,9,frank-harris-3
75,Luke McCaffrey,Nebraska,Big Ten,7,65,364,5.6,3,1,5,5.0,0,66,369,5.6,3,luke-mccaffrey-1
76,Dorian Thompson-Robinson,UCLA,Pac-12,5,55,306,5.6,3,0,0,,0,55,306,5.6,3,dorian-thompson-robinson-1
77,Isaiah Spiller*,Texas A&M,SEC,10,188,1036,5.5,9,20,193,9.7,0,208,1229,5.9,9,isaiah-spiller-1
78,Zonovan Knight*,North Carolina State,ACC,12,143,788,5.5,10,20,136,6.8,0,163,924,5.7,10,zonovan-knight-1
79,Otis Anderson*,UCF,American,9,125,687,5.5,4,14,79,5.6,0,139,766,5.5,4,otis-anderson-1
80,Dezmon Jackson*,Oklahoma State,Big 12,11,100,547,5.5,4,5,14,2.8,0,105,561,5.3,4,dezmon-jackson-1
81,Trey Smith,Wyoming,MWC,6,88,488,5.5,5,3,18,6.0,0,91,506,5.6,5,trey-smith-4
82,Caleb Huntley*,Ball State,MAC,3,80,437,5.5,6,1,13,13.0,0,81,450,5.6,6,caleb-huntley-1
83,Calvin Turner*,Hawaii,MWC,9,60,331,5.5,4,33,546,16.5,6,93,877,9.4,10,calvin-turner-2
84,Dustin Crum,Kent State,MAC,4,44,240,5.5,4,0,0,,0,44,240,5.5,4,dustin-crum-1
85,Mohamed Ibrahim,Minnesota,Big Ten,7,201,1076,5.4,15,8,56,7.0,0,209,1132,5.4,15,mohamed-ibrahim-1
86,Travis Etienne*,Clemson,ACC,12,168,914,5.4,14,48,588,12.3,2,216,1502,7.0,16,travis-etienne-1
87,Ulysses Bentley IV,SMU,American,10,170,913,5.4,11,21,174,8.3,1,191,1087,5.7,12,ulysses-bentley-iv-1
88,Zamir White*,Georgia,SEC,10,144,779,5.4,11,6,37,6.2,0,150,816,5.4,11,zamir-white-1
89,J.D. King*,Georgia Southern,Sun Belt,7,116,625,5.4,5,3,14,4.7,0,119,639,5.4,5,jd-king-1
90,Reese White*,Coastal Carolina,Sun Belt,12,88,478,5.4,6,3,53,17.7,0,91,531,5.8,6,reese-white-1
91,Tre Siggers*,North Texas,CUSA,8,85,458,5.4,1,1,1,1.0,0,86,459,5.3,1,tre-siggers-1
92,Haaziq Daniels,Air Force,MWC,6,55,297,5.4,3,0,0,,0,55,297,5.4,3,haaziq-daniels-1
93,Kyren Williams*,Notre Dame,ACC,12,211,1125,5.3,13,35,313,8.9,1,246,1438,5.8,14,kyren-williams-1
94,Tyler Goodson,Iowa,Big Ten,8,143,762,5.3,7,15,152,10.1,0,158,914,5.8,7,tyler-goodson-1
95,Trelon Smith,Arkansas,SEC,10,134,710,5.3,5,22,159,7.2,1,156,869,5.6,6,trelon-smith-1
96,Brian Robinson Jr.*,Alabama,SEC,13,91,483,5.3,6,6,26,4.3,0,97,509,5.2,6,brian-robinson-jr-1
97,Deneric Prince*,Tulsa,American,8,88,470,5.3,4,1,11,11.0,0,89,481,5.4,4,deneric-prince-1
98,Lopini Katoa*,Brigham Young,Ind,11,84,444,5.3,5,23,293,12.7,3,107,737,6.9,8,lopini-katoa-1
99,LD Brown*,Oklahoma State,Big 12,9,82,437,5.3,2,6,64,10.7,0,88,501,5.7,2,ld-brown-2
100,Kylan Watkins*,Memphis,American,11,81,433,5.3,1,23,154,6.7,1,104,587,5.6,2,kylan-watkins-1
101,La'Damian Webb,Florida State,ACC,7,69,369,5.3,3,9,68,7.6,0,78,437,5.6,3,ladamian-webb-1
102,Mike Epstein,Illinois,Big Ten,7,69,367,5.3,4,2,29,14.5,0,71,396,5.6,4,mike-epstein-2
103,Sean McGrew,Washington,Pac-12,4,43,227,5.3,4,3,13,4.3,0,46,240,5.2,4,sean-mcgrew-1
104,C.J. Marable*,Coastal Carolina,Sun Belt,12,169,887,5.2,12,31,228,7.4,7,200,1115,5.6,19,torrance-marable-1
105,Christian Beal*,Wake Forest,ACC,9,142,732,5.2,5,5,42,8.4,0,147,774,5.3,5,christian-beal-1
106,Christian Beal-Smith*,Wake Forest,ACC,9,142,732,5.2,5,5,42,8.4,0,147,774,5.3,5,christian-beal-smith-1
107,Deuce Vaughn,Kansas State,Big 12,10,123,642,5.2,7,25,434,17.4,2,148,1076,7.3,9,deuce-vaughn-1
108,Hendon Hooker,Virginia Tech,ACC,8,120,620,5.2,9,1,16,16.0,0,121,636,5.3,9,hendon-hooker-1
109,Chase Brown,Illinois,Big Ten,8,104,540,5.2,3,7,64,9.1,0,111,604,5.4,3,chase-brown-3
110,Calvin Hill,Texas State,Sun Belt,12,101,528,5.2,5,24,173,7.2,0,125,701,5.6,5,calvin-hill-4
111,Tucker Gregg*,Georgia State,Sun Belt,10,90,468,5.2,6,2,10,5.0,0,92,478,5.2,6,tucker-gregg-1
112,Jahmyr Gibbs,Georgia Tech,ACC,7,89,460,5.2,4,24,303,12.6,3,113,763,6.8,7,jahmyr-gibbs-1
113,Devonte Lee*,Nevada,MWC,9,82,427,5.2,2,17,96,5.6,0,99,523,5.3,2,devonte-lee-1
114,Roschon Johnson*,Texas,Big 12,10,80,418,5.2,6,8,51,6.4,1,88,469,5.3,7,roschon-johnson-1
115,Bentavious Thompson*,UCF,American,9,73,382,5.2,5,3,12,4.0,0,76,394,5.2,5,bentavious-thompson-1
116,Bentavious Thompson*,UCF,American,9,73,382,5.2,5,3,12,4.0,0,76,394,5.2,5,bentavious-thompson-2
117,Leddie Brown*,West Virginia,Big 12,10,199,1010,5.1,9,31,202,6.5,2,230,1212,5.3,11,leddie-brown-1
118,Greg McCrae*,UCF,American,10,149,758,5.1,10,14,98,7.0,0,163,856,5.3,10,greg-mccrae-1
119,Jerrion Ealy*,Ole Miss,SEC,9,147,745,5.1,9,15,155,10.3,1,162,900,5.6,10,jerrion-ealy-1
120,Demetric Felton,UCLA,Pac-12,6,132,668,5.1,5,22,159,7.2,3,154,827,5.4,8,demetric-felton-1
121,Cam'ron Harris*,Miami (FL),ACC,11,126,643,5.1,10,18,131,7.3,1,144,774,5.4,11,camron-harris-1
122,Grayson McCall*,Coastal Carolina,Sun Belt,11,111,569,5.1,7,0,0,,0,111,569,5.1,7,grayson-mccall-1
123,Kimani Vidal,Troy,Sun Belt,9,101,516,5.1,4,26,225,8.7,0,127,741,5.8,4,kimani-vidal-1
124,Ronnie Rivers,Fresno State,MWC,6,100,507,5.1,7,27,265,9.8,2,127,772,6.1,9,ronnie-rivers-1
125,Andrew Clair,Bowling Green State,MAC,4,52,266,5.1,0,2,28,14.0,0,54,294,5.4,0,andrew-clair-1
126,Damien Moore,California,Pac-12,4,38,194,5.1,0,1,10,10.0,0,39,204,5.2,0,damien-moore-1
127,Nelson Smith,Navy,American,10,128,645,5.0,8,0,0,,0,128,645,5.0,8,nelson-smith-1
128,Keaton Mitchell,East Carolina,American,9,88,443,5.0,2,11,75,6.8,1,99,518,5.2,3,keaton-mitchell-1
129,Alexander Horvath,Purdue,Big Ten,6,89,442,5.0,2,30,304,10.1,0,119,746,6.3,2,alexander-horvath-1
130,Jashaun Corbin,Florida State,ACC,9,81,401,5.0,5,19,115,6.1,0,100,516,5.2,5,jashaun-corbin-1
131,John Emery Jr.,LSU,SEC,9,75,378,5.0,3,14,73,5.2,0,89,451,5.1,3,john-emery-jr-1
132,Jalen Berger*,Wisconsin,Big Ten,4,60,301,5.0,2,2,13,6.5,0,62,314,5.1,2,jalen-berger-1
133,Marquez Cooper,Kent State,MAC,4,56,282,5.0,5,1,14,14.0,0,57,296,5.2,5,marquez-cooper-1
134,Boogie Knight,Akron,MAC,6,39,194,5.0,0,3,25,8.3,0,42,219,5.2,0,boogie-knight-1
135,Marcel Dancy,California,Pac-12,4,31,156,5.0,0,9,68,7.6,0,40,224,5.6,0,marcel-dancy-1
136,Eric Gray,Tennessee,SEC,9,157,772,4.9,4,30,254,8.5,2,187,1026,5.5,6,eric-gray-2
137,Shai Werts*,Georgia Southern,Sun Belt,11,146,720,4.9,11,0,0,,0,146,720,4.9,11,shai-werts-1
138,Rahjai Harris,East Carolina,American,8,128,624,4.9,4,6,31,5.2,1,134,655,4.9,5,rahjai-harris-1
139,Deion Hankins,UTEP,CUSA,7,121,592,4.9,9,1,3,3.0,0,122,595,4.9,9,deion-hankins-1
140,Kenneth Walker III*,Wake Forest,ACC,8,119,579,4.9,13,3,30,10.0,0,122,609,5.0,13,kenneth-walker-iii-1
141,Corey Taylor II*,Tulsa,American,8,105,516,4.9,4,1,5,5.0,0,106,521,4.9,4,corey-taylor-ii-1
142,Master Teague*,Ohio State,Big Ten,7,104,514,4.9,8,5,46,9.2,0,109,560,5.1,8,master-teague-1
143,Keyvone Lee,Penn State,Big Ten,9,89,438,4.9,4,12,66,5.5,0,101,504,5.0,4,keyvone-lee-1
144,Chance Bell,San Diego State,MWC,7,56,273,4.9,3,3,26,8.7,0,59,299,5.1,3,chance-bell-1
145,Spencer Brown,UAB,CUSA,8,186,889,4.8,10,5,35,7.0,0,191,924,4.8,10,spencer-brown-3
146,Brenden Knox*,Marshall,CUSA,10,185,887,4.8,9,7,86,12.3,1,192,973,5.1,10,brenden-knox-1
147,Brock Sturges,Texas State,Sun Belt,12,111,532,4.8,5,11,116,10.5,1,122,648,5.3,6,brock-sturges-1
148,Kaegun Williams,San Diego State,MWC,7,54,257,4.8,1,3,42,14.0,0,57,299,5.2,1,kaegun-williams-1
149,Larry Rountree III,Missouri,SEC,10,209,972,4.7,14,15,100,6.7,0,224,1072,4.8,14,larry-rountree-iii-1
150,Gerrid Doaks*,Cincinnati,American,9,144,673,4.7,7,14,202,14.4,2,158,875,5.5,9,gerrid-doaks-1
151,Chuba Hubbard*,Oklahoma State,Big 12,7,133,625,4.7,5,8,52,6.5,1,141,677,4.8,6,chuba-hubbard-1
152,Dameon Pierce*,Florida,SEC,12,106,503,4.7,4,17,156,9.2,1,123,659,5.4,5,dameon-pierce-1
153,T.J. Pledger*,Oklahoma,Big 12,9,95,451,4.7,5,9,77,8.6,0,104,528,5.1,5,tj-pledger-1
154,James Charles*,Florida Atlantic,CUSA,9,92,429,4.7,4,9,55,6.1,0,101,484,4.8,4,james-charles-1
155,Shermari Jones*,Coastal Carolina,Sun Belt,12,84,398,4.7,3,1,9,9.0,0,85,407,4.8,3,shermari-jones-1
156,Dedrick Mills,Nebraska,Big Ten,6,84,396,4.7,3,12,85,7.1,0,96,481,5.0,3,dedrick-mills-1
157,Justin Fields*,Ohio State,Big Ten,8,81,383,4.7,5,0,0,,0,81,383,4.7,5,justin-fields-2
158,Kelley Joiner Jr.,South Florida,American,9,78,368,4.7,1,8,73,9.1,1,86,441,5.1,2,kelley-joiner-jr-1
159,Will Howard,Kansas State,Big 12,9,78,364,4.7,3,0,0,,0,78,364,4.7,3,will-howard-2
160,Kevin Perkins,Southern Mississippi,CUSA,9,67,317,4.7,7,6,26,4.3,0,73,343,4.7,7,kevin-perkins-1
161,Nate Jones,New Mexico,MWC,6,49,232,4.7,4,0,0,,0,49,232,4.7,4,nate-jones-9
162,Nathaniel Jones,New Mexico,MWC,6,49,232,4.7,4,0,0,,0,49,232,4.7,4,nathaniel-jones-1
163,Micah Kelly,Toledo,MAC,6,44,208,4.7,2,5,24,4.8,0,49,232,4.7,2,micah-kelly-1
164,Destin Coates*,Georgia State,Sun Belt,9,166,769,4.6,7,12,65,5.4,0,178,834,4.7,7,destin-coates-1
165,Sean Tucker,Syracuse,ACC,9,137,626,4.6,4,8,113,14.1,0,145,739,5.1,4,sean-tucker-2
166,Malik Cunningham,Louisville,ACC,11,131,609,4.6,7,0,0,,0,131,609,4.6,7,malik-cunningham-1
167,Ty Chandler,Tennessee,SEC,10,100,456,4.6,4,16,111,6.9,0,116,567,4.9,4,ty-chandler-1
168,Chaton Mobley,Middle Tennessee State,CUSA,9,80,366,4.6,4,8,46,5.8,2,88,412,4.7,6,chaton-mobley-1
169,Gaej Walker*,Western Kentucky,CUSA,12,143,645,4.5,3,9,87,9.7,0,152,732,4.8,3,gaej-walker-1
170,Max Duggan,TCU,Big 12,10,116,526,4.5,10,1,0,0.0,0,117,526,4.5,10,max-duggan-1
171,Matt Corral*,Ole Miss,SEC,10,112,506,4.5,4,0,0,,0,112,506,4.5,4,matt-corral-1
172,Kobe Lewis,Central Michigan,MAC,6,105,468,4.5,6,17,106,6.2,1,122,574,4.7,7,kobe-lewis-1
173,Snoop Conner*,Ole Miss,SEC,10,93,421,4.5,8,12,83,6.9,0,105,504,4.8,8,snoop-conner-1
174,Christian Anderson*,Army,Ind,7,94,419,4.5,4,0,0,,0,94,419,4.5,4,christian-anderson-2
175,Wayne Taulapapa,Virginia,ACC,10,88,395,4.5,5,12,65,5.4,0,100,460,4.6,5,wayne-taulapapa-1
176,Tye Evans*,Ball State,MAC,8,80,360,4.5,2,3,38,12.7,0,83,398,4.8,2,tye-evans-1
177,Sheldon Evans*,Marshall,CUSA,9,72,327,4.5,4,9,26,2.9,0,81,353,4.4,4,sheldon-evans-1
178,Velton Gardner,Kansas,Big 12,6,72,325,4.5,2,6,18,3.0,0,78,343,4.4,2,velton-gardner-1
179,Jo'quavious Marks*,Mississippi State,SEC,11,70,312,4.5,3,60,268,4.5,0,130,580,4.5,3,joquavious-marks-1
180,Garrett Groshek*,Wisconsin,Big Ten,6,67,300,4.5,2,22,119,5.4,0,89,419,4.7,2,garrett-groshek-1
181,Samson Evans,Eastern Michigan,MAC,4,41,185,4.5,1,6,46,7.7,0,47,231,4.9,1,samson-evans-1
182,Ricky Person Jr.*,North Carolina State,ACC,12,147,643,4.4,4,18,136,7.6,0,165,779,4.7,4,ricky-person-jr-1
183,Vincent Davis,Pitt,ACC,11,143,632,4.4,6,24,154,6.4,1,167,786,4.7,7,vincent-davis-3
184,Jamal Jones,Arkansas State,Sun Belt,11,132,578,4.4,3,16,89,5.6,0,148,667,4.5,3,jamal-jones-4
185,Brennan Armstrong,Virginia,ACC,9,126,552,4.4,5,0,4,,0,126,556,4.4,5,brennan-armstrong-1
186,Austin Jones,Stanford,Pac-12,6,126,550,4.4,9,21,156,7.4,0,147,706,4.8,9,austin-jones-6
187,Isiah Pacheco,Rutgers,Big Ten,9,116,515,4.4,3,19,130,6.8,1,135,645,4.8,4,isaih-pacheco-1
188,Gary Brightwell,Arizona,Pac-12,5,88,390,4.4,1,13,53,4.1,0,101,443,4.4,1,gary-brightwell-1
189,Brock Purdy*,Iowa State,Big 12,12,87,382,4.4,5,0,0,,0,87,382,4.4,5,brock-purdy-1
190,CJ Verdell*,Oregon,Pac-12,5,65,285,4.4,3,9,96,10.7,0,74,381,5.1,3,cj-verdell-1
191,Vavae Malepeai,USC,Pac-12,5,54,238,4.4,3,16,64,4.0,0,70,302,4.3,3,vavae-malepeai-1
192,Devonta'e Henry-Cole,Utah State,MWC,5,41,180,4.4,0,3,11,3.7,0,44,191,4.3,0,devontae-henry-cole-1
193,Israel Tucker*,Louisiana Tech,CUSA,10,149,648,4.3,4,10,59,5.9,0,159,707,4.4,4,israel-tucker-1
194,Charles Williams,UNLV,MWC,6,116,495,4.3,4,13,44,3.4,0,129,539,4.2,4,charles-williams-8
195,Jakobi Buchanan*,Army,Ind,11,111,474,4.3,6,0,0,,0,111,474,4.3,6,jakobi-buchanan-1
196,Harrison Waylee,Northern Illinois,MAC,6,107,456,4.3,1,8,61,7.6,1,115,517,4.5,2,harrison-waylee-1
197,Tyrion Davis-Price,LSU,SEC,9,104,446,4.3,3,8,47,5.9,0,112,493,4.4,3,tyrion-davis-price-1
198,Jordan Mason,Georgia Tech,ACC,6,82,352,4.3,2,7,72,10.3,0,89,424,4.8,2,jordan-mason-1
199,A'Jon Vivens,Colorado State,MWC,4,49,210,4.3,1,1,1,1.0,0,50,211,4.2,1,ajon-vivens-1
200,Juma Otoviano,Rice,CUSA,2,45,195,4.3,0,1,8,8.0,0,46,203,4.4,0,juma-otoviano-1
201,Deon Jackson,Duke,ACC,11,161,682,4.2,5,10,85,8.5,0,171,767,4.5,5,deon-jackson-1
202,Tyhier Tyler*,Army,Ind,7,139,578,4.2,5,0,0,,0,139,578,4.2,5,tyhier-tyler-1
203,Bryant Koback,Toledo,MAC,6,123,522,4.2,4,24,228,9.5,2,147,750,5.1,6,bryant-koback-1
204,Ian Book*,Notre Dame,ACC,12,116,485,4.2,9,0,0,,0,116,485,4.2,9,ian-book-1
205,Chevan Cordeiro*,Hawaii,MWC,9,116,483,4.2,7,0,0,,0,116,483,4.2,7,chevan-cordeiro-1
206,Miles Reed*,Hawaii,MWC,8,82,346,4.2,1,16,123,7.7,0,98,469,4.8,1,miles-reed-1
207,Tre Harbison,Charlotte,CUSA,6,80,337,4.2,4,1,14,14.0,0,81,351,4.3,4,tre-harbison-1
208,Alec Sinkfield*,West Virginia,Big 12,10,78,327,4.2,3,9,55,6.1,0,87,382,4.4,3,alec-sinkfield-1
209,Tayvon Ruley,Temple,American,7,73,306,4.2,1,4,30,7.5,0,77,336,4.4,1,tayvon-ruley-1
210,Kamari Pleasant,Washington,Pac-12,4,34,144,4.2,3,8,66,8.3,0,42,210,5.0,3,kamari-pleasant-1
211,Daniyel Ngata,Arizona State,Pac-12,4,26,108,4.2,1,1,16,16.0,0,27,124,4.6,1,daniyel-ngata-1
212,Jonah Johnson,New Mexico State,Ind,2,19,80,4.2,2,0,0,,0,19,80,4.2,2,jonah-johnson-1
213,Carlos Davis,South Alabama,Sun Belt,11,164,674,4.1,3,11,104,9.5,0,175,778,4.4,3,carlos-davis-4
214,Rodrigues Clark*,Memphis,American,10,136,561,4.1,2,10,50,5.0,0,146,611,4.2,2,rodrigues-clark-1
215,D'Eriq King*,Miami (FL),ACC,11,130,538,4.1,4,2,16,8.0,0,132,554,4.2,4,deriq-king-1
216,Keyon Brooks,Vanderbilt,SEC,6,120,494,4.1,2,28,258,9.2,0,148,752,5.1,2,keyon-brooks-1
217,Jeff Sims,Georgia Tech,ACC,10,120,492,4.1,6,0,0,,0,120,492,4.1,6,jeff-sims-1
218,Terry Wilson*,Kentucky,SEC,10,104,424,4.1,5,0,0,,0,104,424,4.1,5,terry-wilson-3
219,Cam Porter*,Northwestern,Big Ten,7,81,333,4.1,5,9,57,6.3,0,90,390,4.3,5,cam-porter-1
