Rk,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Rachaad White,Arizona State,Pac-12,4,42,420,10.0,5,8,151,18.9,1,50,571,11.4,6,rachaad-white-1
2,Jake Funk,Maryland,Big Ten,5,60,516,8.6,3,10,68,6.8,1,70,584,8.3,4,jake-funk-1
3,Bijan Robinson*,Texas,Big 12,9,86,703,8.2,4,15,196,13.1,2,101,899,8.9,6,bijan-robinson-1
4,Michael Carter*,North Carolina,ACC,11,156,1245,8.0,9,25,267,10.7,2,181,1512,8.4,11,michael-carter-5
5,Terion Stewart,Bowling Green State,MAC,4,37,295,8.0,4,2,10,5.0,0,39,305,7.8,4,terion-stewart-1
6,Xavier Williams,Kent State,MAC,4,27,216,8.0,3,0,0,,0,27,216,8.0,3,xavier-williams-2
7,Tyler Nevens*,San Jose State,MWC,8,66,515,7.8,5,4,7,1.8,0,70,522,7.5,5,tyler-nevens-1
8,Khalil Herbert,Virginia Tech,ACC,11,154,1182,7.7,8,10,179,17.9,1,164,1361,8.3,9,khalil-herbert-1
9,Jaret Patterson*,Buffalo,MAC,6,141,1072,7.6,19,0,0,,0,141,1072,7.6,19,jaret-patterson-1
10,De'Montre Tuggle,Ohio,MAC,3,53,403,7.6,6,2,6,3.0,0,55,409,7.4,6,demontre-tuggle-1
11,Tyler Allgeier*,Brigham Young,Ind,11,150,1130,7.5,13,14,174,12.4,0,164,1304,8.0,13,tyler-allgeier-1
12,Trey Sermon*,Ohio State,Big Ten,8,116,870,7.5,4,12,95,7.9,0,128,965,7.5,4,trey-sermon-1
13,Javonte Williams*,North Carolina,ACC,11,157,1140,7.3,19,25,305,12.2,3,182,1445,7.9,22,javonte-williams-1
14,Ty Jordan,Utah,Pac-12,5,83,597,7.2,6,11,126,11.5,0,94,723,7.7,6,ty-jordan-1
15,Brad Roberts,Air Force,MWC,4,64,461,7.2,5,0,0,,0,64,461,7.2,5,brad-roberts-1
16,Travis Dye*,Oregon,Pac-12,7,64,443,6.9,1,9,239,26.6,4,73,682,9.3,5,travis-dye-1
17,Javion Posey*,Florida Atlantic,CUSA,6,58,403,6.9,3,0,0,,0,58,403,6.9,3,javion-posey-1
18,Bryan Bradford,Kent State,MAC,4,37,254,6.9,0,1,13,13.0,1,38,267,7.0,1,bryan-bradford-1
19,Mataeo Durant,Duke,ACC,11,120,817,6.8,8,12,107,8.9,1,132,924,7.0,9,mataeo-durant-1
20,D'Vonte Price,Florida International,CUSA,5,85,581,6.8,4,5,14,2.8,1,90,595,6.6,5,dvonte-price-1
21,Jayden Daniels,Arizona State,Pac-12,4,33,223,6.8,4,0,0,,0,33,223,6.8,4,jayden-daniels-1
22,Camerun Peoples*,Appalachian State,Sun Belt,12,168,1124,6.7,12,3,15,5.0,0,171,1139,6.7,12,camerun-peoples-1
23,Malik Willis*,Liberty,Ind,10,141,944,6.7,14,0,0,,0,141,944,6.7,14,malik-willis-1
24,Juwuan Price,New Mexico State,Ind,2,33,222,6.7,1,5,7,1.4,0,38,229,6.0,1,juwuan-price-1
25,Christopher Rodriguez Jr.*,Kentucky,SEC,9,119,785,6.6,11,1,12,12.0,0,120,797,6.6,11,christopher-rodriguez-jr-1
26,Kevin Marks*,Buffalo,MAC,7,112,741,6.6,7,4,3,0.8,0,116,744,6.4,7,kevin-marks-1
27,Rhamondre Stevenson*,Oklahoma,Big 12,6,101,665,6.6,7,18,211,11.7,0,119,876,7.4,7,rhamondre-stevenson-1
28,Brittain Brown,UCLA,Pac-12,7,82,543,6.6,4,6,84,14.0,1,88,627,7.1,5,brittain-brown-1
29,Jerome Ford*,Cincinnati,American,10,73,483,6.6,8,8,51,6.4,0,81,534,6.6,8,jerome-ford-1
30,Sean Tyler,Western Michigan,MAC,4,40,263,6.6,2,11,68,6.2,0,51,331,6.5,2,sean-tyler-1
31,Jermar Jefferson,Oregon State,Pac-12,6,133,858,6.5,7,9,67,7.4,0,142,925,6.5,7,jermar-jefferson-1
32,Lew Nichols,Central Michigan,MAC,6,78,507,6.5,4,10,109,10.9,1,88,616,7.0,5,lew-nichols-1
33,Jaylen Warren,Utah State,MWC,3,39,252,6.5,3,5,33,6.6,0,44,285,6.5,3,jaylen-warren-1
34,Asim Rose*,Kentucky,SEC,11,106,666,6.3,2,10,83,8.3,0,116,749,6.5,2,asim-rose-1
35,Lincoln Pare,Arkansas State,Sun Belt,9,72,450,6.3,1,12,85,7.1,2,84,535,6.4,3,lincoln-pare-1
36,Kevin Harris,South Carolina,SEC,10,185,1138,6.2,15,21,159,7.6,1,206,1297,6.3,16,kevin-harris-5
37,Elijah Mitchell*,Louisiana,Sun Belt,10,141,878,6.2,8,16,153,9.6,0,157,1031,6.6,8,elijah-mitchell-2
38,Javian Hawkins,Louisville,ACC,8,133,822,6.2,7,16,127,7.9,1,149,949,6.4,8,javian-hawkins-1
39,Nate Noel*,Appalachian State,Sun Belt,10,82,510,6.2,3,2,25,12.5,0,84,535,6.4,3,nate-noel-1
