Rk,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Lynn Bowden Jr.*,Kentucky,SEC,13,185,1468,7.9,13,30,348,11.6,1,215,1816,8.4,14,lynn-bowden-jr-1
2,Travis Etienne*,Clemson,ACC,15,207,1614,7.8,19,37,432,11.7,4,244,2046,8.4,23,travis-etienne-1
3,Raymond Calais*,Louisiana,Sun Belt,14,117,886,7.6,6,10,67,6.7,1,127,953,7.5,7,raymond-calais-1
4,Javon Leake,Maryland,Big Ten,12,102,736,7.2,8,9,55,6.1,0,111,791,7.1,8,javon-leake-1
5,Adrian Killins*,UCF,American,12,87,629,7.2,7,8,120,15.0,1,95,749,7.9,8,adrian-killins-1
6,Jason Huntley,New Mexico State,Ind,12,154,1090,7.1,9,40,192,4.8,2,194,1282,6.6,11,jason-huntley-1
7,Trey Ragas*,Louisiana,Sun Belt,13,116,820,7.1,11,6,60,10.0,1,122,880,7.2,12,trey-ragas-1
8,Malcolm Davidson*,Florida Atlantic,CUSA,11,102,711,7.0,9,4,46,11.5,0,106,757,7.1,9,malcolm-davidson-1
9,Journey Brown*,Penn State,Big Ten,13,129,890,6.9,12,15,134,8.9,1,144,1024,7.1,13,journey-brown-1
10,Wesley Kennedy III*,Georgia Southern,Sun Belt,9,119,824,6.9,11,10,92,9.2,0,129,916,7.1,11,wesley-kennedy-iii-1
11,Jerrion Ealy,Ole Miss,SEC,12,104,722,6.9,6,20,172,8.6,1,124,894,7.2,7,jerrion-ealy-1
12,Bentavious Thompson*,UCF,American,12,87,604,6.9,8,5,25,5.0,0,92,629,6.8,8,bentavious-thompson-1
13,Bentavious Thompson*,UCF,American,13,87,604,6.9,8,5,25,5.0,0,92,629,6.8,8,bentavious-thompson-2
14,Malcolm Perry*,Navy,American,13,295,2017,6.8,21,0,0,,0,295,2017,6.8,21,malcolm-perry-1
15,J.K. Dobbins*,Ohio State,Big Ten,14,301,2003,6.7,21,23,247,10.7,2,324,2250,6.9,23,jk-dobbins-1
16,Destin Coates*,Georgia State,Sun Belt,11,82,546,6.7,7,7,60,8.6,0,89,606,6.8,7,destin-coates-1
17,Clyde Edwards-Helaire*,LSU,SEC,15,215,1414,6.6,16,55,453,8.2,1,270,1867,6.9,17,clyde-edwards-helaire-1
18,John Rhys Plumlee,Ole Miss,SEC,9,154,1023,6.6,12,0,0,,0,154,1023,6.6,12,john-rhys-plumlee-1
19,Jamale Carothers*,Navy,American,10,111,734,6.6,14,4,105,26.3,2,115,839,7.3,16,jamale-carothers-2
20,Josh Johnson,Louisiana-Monroe,Sun Belt,12,201,1298,6.5,11,13,122,9.4,0,214,1420,6.6,11,josh-johnson-8
21,Kennedy Brooks*,Oklahoma,Big 12,13,155,1011,6.5,6,10,79,7.9,0,165,1090,6.6,6,kennedy-brooks-1
22,Chuba Hubbard*,Oklahoma State,Big 12,13,328,2094,6.4,21,23,198,8.6,0,351,2292,6.5,21,chuba-hubbard-1
23,Max Borghi*,Washington State,Pac-12,13,127,817,6.4,11,86,597,6.9,5,213,1414,6.6,16,max-borghi-1
24,Otis Anderson*,UCF,American,13,113,726,6.4,5,31,365,11.8,3,144,1091,7.6,8,otis-anderson-1
25,John Lovett*,Baylor,Big 12,14,103,655,6.4,5,8,66,8.3,0,111,721,6.5,5,john-lovett-1
26,De'Montre Tuggle*,Ohio,MAC,12,101,644,6.4,11,16,121,7.6,1,117,765,6.5,12,demontre-tuggle-1
27,Jonathan Taylor*,Wisconsin,Big Ten,14,320,2003,6.3,21,26,252,9.7,5,346,2255,6.5,26,jonathan-taylor-1
28,Kenny Gainwell*,Memphis,American,14,231,1459,6.3,13,51,610,12.0,3,282,2069,7.3,16,kenny-gainwell-1
29,O'Shaan Allison*,Ohio,MAC,12,138,869,6.3,6,11,76,6.9,0,149,945,6.3,6,oshaan-allison-1
30,Sean Chambers*,Wyoming,MWC,8,90,567,6.3,10,0,0,,0,90,567,6.3,10,sean-chambers-1
31,Snoop Conner,Ole Miss,SEC,12,81,512,6.3,5,6,60,10.0,0,87,572,6.6,5,snoop-conner-1
32,CJ Verdell*,Oregon,Pac-12,14,197,1220,6.2,8,14,125,8.9,0,211,1345,6.4,8,cj-verdell-1
33,D'Andre Swift*,Georgia,SEC,14,196,1218,6.2,7,24,216,9.0,1,220,1434,6.5,8,dandre-swift-1
34,Rakeem Boyd,Arkansas,SEC,12,184,1133,6.2,8,19,160,8.4,0,203,1293,6.4,8,rakeem-boyd-2
35,Travis Dye*,Oregon,Pac-12,14,106,658,6.2,0,16,159,9.9,1,122,817,6.7,1,travis-dye-1
