Rk,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Kendre Miller,TCU,Big 12,10,83,623,7.5,7,12,117,9.8,1,95,740,7.8,8,kendre-miller-1
2,Anthony Watkins*,Tulsa,American,13,86,634,7.4,4,4,28,7.0,0,90,662,7.4,4,anthony-watkins-3
3,Devon Achane,Texas A&M,SEC,12,130,910,7.0,9,24,261,10.9,1,154,1171,7.6,10,devon-achane-1
4,Johnny Richardson*,UCF,American,13,104,733,7.0,3,25,226,9.0,1,129,959,7.4,4,johnny-richardson-4
5,Zach Evans,TCU,Big 12,6,92,648,7.0,5,10,130,13.0,1,102,778,7.6,6,zach-evans-1
6,Braelon Allen*,Wisconsin,Big Ten,12,186,1268,6.8,12,8,39,4.9,0,194,1307,6.7,12,braelon-allen-1
7,TreVeyon Henderson*,Ohio State,Big Ten,13,183,1248,6.8,15,27,312,11.6,4,210,1560,7.4,19,treveyon-henderson-1
8,Bryant Koback*,Toledo,MAC,13,208,1400,6.7,15,30,334,11.1,3,238,1734,7.3,18,bryant-koback-1
9,DeWayne McBride*,UAB,CUSA,13,204,1371,6.7,13,3,19,6.3,0,207,1390,6.7,13,dewayne-mcbride-1
10,Blake Corum*,Michigan,Big Ten,12,143,952,6.7,11,24,141,5.9,1,167,1093,6.5,12,blake-corum-1
11,Tyjae Spears,Tulane,American,12,129,863,6.7,9,19,145,7.6,0,148,1008,6.8,9,tyjae-spears-1
12,Jamyest Williams*,Georgia State,Sun Belt,13,128,859,6.7,9,1,19,19.0,0,129,878,6.8,9,jamyest-williams-1
13,T.J. Pledger*,Utah,Pac-12,14,104,694,6.7,6,10,107,10.7,0,114,801,7.0,6,tj-pledger-1
14,Jarquez Hunter*,Auburn,SEC,13,89,593,6.7,3,12,61,5.1,1,101,654,6.5,4,jarquez-hunter-1
15,Zaquandre White*,South Carolina,SEC,12,88,583,6.6,2,19,202,10.6,3,107,785,7.3,5,zaquandre-white-1
16,Keaton Mitchell,East Carolina,American,12,174,1132,6.5,9,22,253,11.5,1,196,1385,7.1,10,keaton-mitchell-1
17,Shermari Jones*,Coastal Carolina,Sun Belt,11,159,1040,6.5,13,3,28,9.3,0,162,1068,6.6,13,shermari-jones-1
18,Xavier Williams*,Kent State,MAC,13,125,812,6.5,3,4,40,10.0,0,129,852,6.6,3,xavier-williams-2
19,Tahj Brooks*,Texas Tech,Big 12,9,87,568,6.5,7,6,52,8.7,0,93,620,6.7,7,tahj-brooks-1
20,Sean Tyler*,Western Michigan,MAC,13,178,1140,6.4,9,14,114,8.1,2,192,1254,6.5,11,sean-tyler-1
21,James Cook*,Georgia,SEC,15,113,728,6.4,7,27,284,10.5,4,140,1012,7.2,11,james-cook-2
22,Dae Dae Hunter,Hawaii,MWC,10,101,651,6.4,3,19,163,8.6,0,120,814,6.8,3,dae-dae-hunter-1
23,Ulysses Bentley IV,SMU,American,11,96,610,6.4,4,19,90,4.7,1,115,700,6.1,5,ulysses-bentley-iv-1
24,Treshaun Ward,Florida State,ACC,12,81,515,6.4,4,21,185,8.8,1,102,700,6.9,5,treshaun-ward-1
25,Abram Smith*,Baylor,Big 12,14,257,1621,6.3,12,13,75,5.8,0,270,1696,6.3,12,abram-smith-1
26,Kennedy Brooks*,Oklahoma,Big 12,13,198,1253,6.3,13,9,73,8.1,0,207,1326,6.4,13,kennedy-brooks-1
27,Johnny Ford,Florida Atlantic,CUSA,11,131,831,6.3,5,23,282,12.3,2,154,1113,7.2,7,johnny-ford-1
28,Emani Bailey*,Louisiana,Sun Belt,11,102,642,6.3,8,15,153,10.2,0,117,795,6.8,8,emani-bailey-1
29,Kenneth Walker III*,Michigan State,Big Ten,12,263,1636,6.2,18,13,89,6.8,1,276,1725,6.3,19,kenneth-walker-iii-1
30,Jerome Ford*,Cincinnati,American,13,214,1319,6.2,19,21,220,10.5,1,235,1539,6.5,20,jerome-ford-1
31,Jashaun Corbin,Florida State,ACC,12,143,887,6.2,7,25,144,5.8,1,168,1031,6.1,8,jashaun-corbin-1
32,Kobe Pace*,Clemson,ACC,11,104,641,6.2,6,12,131,10.9,0,116,772,6.7,6,kobe-pace-1
