Rk,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
236,Tyler Johnston III*,UAB,CUSA,13,90,359,4.0,4,0,0,,0,90,359,4.0,4,tyler-johnston-iii-1
237,Ta'Zhawn Henry,Texas Tech,Big 12,10,86,341,4.0,8,22,145,6.6,1,108,486,4.5,9,tazhawn-henry-1
238,Dan Ellington,Georgia State,Sun Belt,11,159,625,3.9,5,0,0,,0,159,625,3.9,5,dan-ellington-1
239,Isaiah Sanders,Air Force,MWC,8,120,466,3.9,6,0,0,,0,120,466,3.9,6,isaiah-sanders-1
240,Jordan Mims*,Fresno State,MWC,12,113,436,3.9,6,21,286,13.6,2,134,722,5.4,8,jordan-mims-1
241,Anthony Scott,East Carolina,American,12,103,405,3.9,3,16,95,5.9,0,119,500,4.2,3,anthony-scott-2
242,Tommy Lazzaro,Central Michigan,MAC,7,97,381,3.9,3,0,0,,0,97,381,3.9,3,tommy-lazzaro-1
243,Desmond Ridder*,Cincinnati,American,13,150,572,3.8,5,0,0,,0,150,572,3.8,5,desmond-ridder-1
244,Van Edwards Jr.,Akron,MAC,11,147,558,3.8,3,13,105,8.1,1,160,663,4.1,4,van-edwards-jr-1
245,Emmanuel Esukpa,Rice,CUSA,9,122,461,3.8,3,0,0,,0,122,461,3.8,3,emmanuel-esukpa-1
246,Tyrone Owens,New Mexico,MWC,12,186,687,3.7,6,7,54,7.7,1,193,741,3.8,7,tyrone-owens-1
247,B.J. Daniels,UTSA,CUSA,12,87,322,3.7,3,4,27,6.8,0,91,349,3.8,3,bj-daniels-2
248,Skylar Thompson,Kansas State,Big 12,11,105,373,3.6,5,0,0,,0,105,373,3.6,5,skylar-thompson-1
249,Anthony Taylor,Texas State,Sun Belt,12,86,312,3.6,4,8,63,7.9,0,94,375,4.0,4,anthony-taylor-7
250,Sheriron Jones,New Mexico,MWC,11,79,286,3.6,0,0,0,,0,79,286,3.6,0,sheriron-jones-1
251,Jacques Patrick,Florida State,ACC,12,108,378,3.5,1,16,102,6.4,1,124,480,3.9,2,jacques-patrick-1
252,Ivory Kelly-Martin*,Iowa,Big Ten,9,97,341,3.5,2,9,78,8.7,0,106,419,4.0,2,ivory-kelly-martin-1
253,Kumehnnu Gwilly,Central Michigan,MAC,12,81,285,3.5,1,8,39,4.9,0,89,324,3.6,1,kumehnnu-gwilly-1
254,Taylor Cornelius*,Oklahoma State,Big 12,13,122,406,3.3,10,3,24,8.0,0,125,430,3.4,10,taylor-cornelius-1
255,Kellen Mond*,Texas A&M,SEC,13,149,474,3.2,7,0,0,,0,149,474,3.2,7,kellen-mond-1
256,Peyton Ramsey,Indiana,Big Ten,12,111,354,3.2,5,0,0,,0,111,354,3.2,5,peyton-ramsey-1
257,Feleipe Franks*,Florida,SEC,13,110,350,3.2,7,2,12,6.0,0,112,362,3.2,7,feleipe-franks-1
258,Woody Barrett,Kent State,MAC,12,163,503,3.1,7,2,-14,-7.0,0,165,489,3.0,7,woody-barrett-2
259,Justice Hansen*,Arkansas State,Sun Belt,13,133,411,3.1,6,2,47,23.5,0,135,458,3.4,6,justice-hansen-1
260,Joe Burrow*,LSU,SEC,13,128,399,3.1,7,0,0,,0,128,399,3.1,7,joe-burrow-1
261,Ryan Willis*,Virginia Tech,ACC,12,113,354,3.1,4,0,0,,0,113,354,3.1,4,ryan-willis-2
262,Kai Locksley,UTEP,CUSA,9,111,340,3.1,6,0,0,,0,111,340,3.1,6,kai-locksley-1
263,Daniel Jones*,Duke,ACC,11,104,319,3.1,3,1,6,6.0,0,105,325,3.1,3,daniel-jones-4
264,Brock Purdy*,Iowa State,Big 12,10,100,308,3.1,5,0,0,,0,100,308,3.1,5,brock-purdy-1
265,Garret Lewis,Navy,American,11,87,266,3.1,5,0,0,,0,87,266,3.1,5,garret-lewis-1
266,Ross Comis,Massachusetts,Ind,11,86,255,3.0,6,0,0,,0,86,255,3.0,6,ross-comis-1
267,Sam Ehlinger*,Texas,Big 12,14,164,482,2.9,16,5,51,10.2,0,169,533,3.2,16,sam-ehlinger-1
268,Jordan Ta'amu,Ole Miss,SEC,12,116,342,2.9,6,0,0,,0,116,342,2.9,6,jordan-taamu-1
269,Ian Book*,Notre Dame,Ind,12,95,280,2.9,4,0,0,,0,95,280,2.9,4,ian-book-1
270,Tyler Vitt,Texas State,Sun Belt,9,81,237,2.9,2,2,31,15.5,1,83,268,3.2,3,tyler-vitt-1
271,Charlie Brewer*,Baylor,Big 12,13,133,375,2.8,7,1,36,36.0,0,134,411,3.1,7,charlie-brewer-1
272,Blake Barnett*,South Florida,American,11,108,306,2.8,8,1,1,1.0,0,109,307,2.8,8,blake-barnett-2
273,Tyler Huntley*,Utah,Pac-12,9,108,304,2.8,4,1,58,58.0,1,109,362,3.3,5,tyler-huntley-1
274,Alex Delton,Kansas State,Big 12,7,85,234,2.8,2,0,0,,0,85,234,2.8,2,alex-delton-1
275,Jonathan Ward,Central Michigan,MAC,9,76,212,2.8,1,8,41,5.1,0,84,253,3.0,1,jonathan-ward-3
