Player,preds,model_rank,Fpros_rk,comb_rank
Alex Erickson,52.72414086734583,158,252,205
Julio Jones,-2.351360917,174,241,207.5
Isaiah McKenzie,18.51071844021826,263,153,208
Robbie Chosen,14.526852512771958,195,222,208.5
Jalen Nailor,17.939233353917665,282,139,210.5
Sterling Shepard,9.182146052466189,241,182,211.5
Deven Thompkins,52.03992099449881,200,226,213
Jalen Brooks,26.595575433338357,258,168,213
Justyn Ross,8.847648827129182,269,158,213.5
David Moore,5.499511690044531,214,214,214
Samori Toure,15.331296873926703,250,180,215
Ben Skowronek,22.86919349809125,224,208,216
Byron Pringle,24.29801753517476,223,216,219.5
Rakim Jarrett,21.20092649166865,261,179,220
Velus Jones Jr.,7.145717417936777,256,187,221.5
D.J. Montgomery,3.2191020907831707,231,215,223
Devin Duvernay,14.509600617216023,278,169,223.5
Keith Kirkwood,9.090666906558992,240,211,225.5
Equanimeous St. Brown,7.235083198213147,264,188,226
Lynn Bowden Jr.,17.75054483473848,228,229,228.5
Simi Fehoko,12.864007179214095,254,207,230.5
Tim Jones,12.827880176637237,248,217,232.5
Kayshon Boutte,5.901462322,288,178,233
Tylan Wallace,10.633489799598522,257,210,233.5
DeAndre Carter,16.723501572211724,259,209,234
Randall Cobb,4.223027872319206,230,246,238
Elijah Cooks,30.048770194322106,272,204,238
Britain Covey,1.8853790897644536,273,206,239.5
Zach Pascal,9.969033425601651,295,189,242
Chris Conley,3.758285498422339,252,240,246
Erik Ezukanma,9.938253098262974,290,203,246.5
Trishton Jackson,11.371057379972044,280,218,249
Lawrence Cager,10.068027191103274,237,264,250.5
Marquise Goodwin,32.23276958661906,239,266,252.5
Tyler Johnson,11.42763687158535,255,256,255.5
Mike Strachan,4.050358847,270,249,259.5
Miles Boykin,3.696892234651204,289,234,261.5
Collin Johnson,-0.441226021,303,225,264
Keelan Doss,25.95246347251792,276,263,269.5
Chris Blair,0.7490193974026449,315,224,269.5
Cody Thompson,4.300807243428472,309,232,270.5
Mason Kinsey,-0.403262503,304,237,270.5
Malik Taylor,2.781464132,308,248,278
Tre'Quan Smith,5.286925682,366,195,280.5
Laquon Treadwell,14.338220314630854,296,272,284
Austin Trammell,-0.37965783,310,259,284.5
Gunner Olszewski,0.492378716,294,277,285.5
Antoine Green,12.218448162869906,335,251,293
Kwamie Lassiter II,7.214314237766592,351,235,293
Colton Dowell,2.94857954,328,270,299
N'Keal Harry,5.363730583,337,261,299
Marquez Callaway,3.532185843369993,319,283,301
Irvin Charles,-0.41765892,321,284,302.5
Damiere Byrd,11.462484476061189,318,288,303
Shedrick Jackson,6.868905704,344,262,303
Dareke Young,6.097147477944572,380,227,303.5
DJ Turner,2.8163215116177445,370,243,306.5
Stanley Morgan Jr.,6.868905704,359,260,309.5
Juwann Winfree,0.7159059353698409,378,245,311.5
Andy Isabella,0.9577460143847355,341,286,313.5
Trent Taylor,26.91992654916102,383,244,313.5
Lucky Jackson,6.878465594889673,343,285,314
Kristian Wilkerson,3.448712652309873,375,271,323
